iteration,Exact,STDM L0,STDM L1,STDM L2,STDM L3
3651,-44.1727726,-30.3354199,-40.57627704,-43.40959019,-43.90335024
3661,-43.92734932,-30.90072508,-40.41784022,-43.26938848,-43.67335762
3671,-43.46364012,-30.51975286,-39.90095517,-42.72439302,-43.15042322
3681,-43.1125408,-30.13019147,-39.91035222,-42.59315553,-42.82399378
3691,-43.9737913,-30.17328699,-40.16146872,-43.27670164,-43.52642484
3701,-44.39441649,-30.34414439,-40.4012773,-43.68046887,-43.96318622
3711,-44.17967489,-30.29260487,-40.69054637,-43.73970942,-43.89727941
3721,-44.32088967,-29.75942324,-40.51102239,-43.78737313,-44.07729877
3731,-44.18692567,-29.347486,-40.02623374,-43.51727908,-43.86681476
3741,-44.68516972,-29.83562486,-40.33600612,-44.03433834,-44.39644019
3751,-44.52989834,-30.27181913,-40.73463038,-43.91874896,-44.28843788
3761,-44.48177801,-29.9738238,-40.92803818,-44.00003543,-44.31086835
3771,-44.46869141,-30.03926987,-40.78803137,-43.95384371,-44.14309593
3781,-44.72971485,-29.88030129,-40.67368558,-43.99375805,-44.48940794
3791,-45.4114087,-30.66501494,-40.91044,-44.94355145,-45.19215584
3801,-45.53987594,-30.29961492,-40.84682685,-44.84914111,-45.14724445
3811,-44.84557505,-30.48888064,-40.43665412,-44.22767673,-44.43633037
3821,-44.70714031,-30.49037735,-40.4981938,-44.05295974,-44.40942315
3831,-44.09645677,-30.25525496,-40.55984531,-43.50999979,-43.96098836
3841,-43.78687327,-30.12887791,-40.5248642,-43.38050273,-43.55770644
3851,-44.83698703,-30.31053727,-40.73051294,-44.10091321,-44.64021113
3861,-44.79077094,-29.72552819,-40.64769136,-43.90479941,-44.41567248
3871,-44.55430225,-29.94722107,-40.66403815,-43.75828999,-44.25150123
3881,-44.57245442,-30.08491253,-40.742742,-43.81738755,-44.2176638
3891,-44.44569594,-29.86678695,-40.29199609,-43.99091208,-44.28635982
3901,-44.48167941,-30.01956994,-40.95173773,-44.0131573,-44.34766082
3911,-44.35786021,-29.90870503,-41.2966582,-43.94704694,-44.12642319
3921,-44.60174157,-30.13098885,-40.74500475,-44.14580321,-44.41008018
3931,-44.71053306,-30.23810313,-41.09067422,-44.34827676,-44.57706153
3941,-45.04898572,-30.27866703,-41.42793792,-44.69746708,-44.910811
3951,-44.76785561,-29.9163334,-41.29751236,-44.57836224,-44.73723002
3961,-45.41009806,-30.04029855,-41.37526978,-44.8739513,-45.221469
3971,-44.21419718,-30.17858929,-40.83231315,-43.76378874,-44.22991366
3981,-44.37389611,-29.74506652,-40.93129229,-43.83892743,-44.2005442
3991,-44.54555432,-29.98365227,-41.14001831,-43.87698325,-44.36955121
4001,-44.67677223,-30.27625786,-41.56574734,-44.17856073,-44.41848713
4011,-45.07967155,-29.97456654,-41.2800159,-44.65040972,-44.78873991
4021,-44.86095669,-30.10110549,-40.83605501,-44.35296147,-44.5422886
4031,-45.16427905,-30.8566319,-41.30810911,-44.71332922,-44.86335746
4041,-44.8607837,-30.09167422,-40.69671015,-44.0074258,-44.28599381
4051,-44.90887962,-29.8448363,-40.71244111,-44.03656067,-44.34950052
4061,-44.9981338,-30.02586403,-40.45589432,-44.22890508,-44.59034403
4071,-44.74228132,-30.50508282,-40.68470865,-44.32191696,-44.36289116
4081,-44.18779232,-30.50466278,-40.42497289,-43.56981046,-43.76896677
4091,-44.44360624,-30.42405312,-40.71531762,-43.87249966,-44.02016451
4101,-44.71803083,-29.63574467,-40.85537646,-44.04215503,-44.30375488
4111,-44.46757016,-29.79333153,-40.62056547,-43.87889571,-44.19466637
4121,-44.49459184,-30.49944249,-41.27554525,-44.18339718,-44.26373764
4131,-44.10461244,-30.72241325,-40.95767408,-43.78298952,-43.84454703
4141,-44.33640467,-30.34762462,-40.92560936,-43.68920118,-44.02308726
4151,-44.97044382,-30.11681321,-41.77399247,-44.57587715,-44.54111008
4161,-45.2713633,-29.72610386,-41.57559033,-44.78759386,-44.75228415
4171,-44.3486575,-30.06954483,-40.71466772,-44.09185578,-44.02045747
4181,-44.48549114,-30.07225986,-40.64299903,-43.95192719,-43.92369926
4191,-44.42027753,-30.41492443,-41.03459,-43.93144088,-43.95541626
4201,-44.96489036,-30.49328221,-41.64816719,-44.36194871,-44.62531958
4211,-44.39167598,-30.70115363,-41.1648685,-43.96624935,-44.12270904
4221,-44.01378759,-30.34270741,-41.20832767,-43.6263899,-43.79056871
4231,-44.10580761,-30.21490595,-40.81705388,-43.4687776,-43.6843082
4241,-44.43745249,-30.27257141,-40.52675425,-43.84629891,-43.94455605
4251,-44.60761795,-30.17385983,-40.58524391,-44.18392873,-44.12359463
4261,-44.59688664,-30.8837826,-40.8534416,-44.1644874,-44.34383522
4271,-44.19054215,-30.68009733,-40.87996325,-43.74130148,-44.09945415
4281,-44.74714053,-30.83704064,-41.16665095,-44.36646534,-44.50056974
4291,-45.12916466,-30.61233365,-41.15984025,-44.71093108,-44.70837794
4301,-45.37503808,-29.95727067,-41.65522256,-44.54740584,-44.96929425
4311,-44.89431981,-29.67071137,-41.048731,-44.14147433,-44.60210421
4321,-44.75073981,-29.53439695,-40.92307378,-44.08246238,-44.64811684
4331,-44.54052736,-29.58590621,-41.20548507,-44.15996624,-44.49244785
4341,-44.87658145,-30.48252511,-41.42954407,-44.37492768,-44.79459247
4351,-45.33583673,-30.27857354,-41.80475238,-44.91407702,-45.29384258
4361,-45.21051056,-30.10161905,-41.17272891,-44.46223831,-44.82735356
4371,-45.10142165,-29.92017129,-41.43843128,-44.54629656,-44.67551457
4381,-44.93569874,-29.96445187,-41.14607758,-44.2454918,-44.36531539
4391,-45.06213245,-29.44505464,-40.7745597,-44.45651218,-44.85194501
4401,-45.12650407,-29.96717223,-40.71911044,-44.45243473,-44.79814675
4411,-44.47860323,-30.64718044,-41.02349112,-44.19427995,-44.50769647
4421,-44.35653579,-30.98850363,-41.28216598,-44.18509116,-44.29377913
4431,-44.19123776,-31.18948797,-41.40049151,-43.69940149,-43.92685377
4441,-43.81990417,-30.96320084,-40.41836009,-43.26997027,-43.52416209
4451,-44.88306047,-30.67129614,-41.00685426,-44.25836276,-44.78207689
4461,-44.54495303,-30.16008218,-40.9906278,-43.97001378,-44.44827875
4471,-44.67411172,-30.36956305,-41.14506293,-44.03598615,-44.4091367
4481,-44.76194676,-30.53759043,-41.24290417,-44.10047225,-44.43488998
4491,-44.61869956,-30.54322767,-41.52250015,-44.15772024,-44.2026561
4501,-43.9902803,-30.13400257,-40.87687994,-43.45563741,-43.58618284
4511,-43.73265119,-30.8282478,-41.22035189,-43.27660688,-43.39572741
4521,-44.81311293,-30.5429335,-41.27271349,-44.16135869,-44.43178833
4531,-44.60908664,-30.62146004,-41.08029994,-43.84772814,-44.32486243
4541,-45.26728531,-31.37586833,-41.25325144,-44.61804512,-45.02552781
4551,-45.13137602,-31.08003712,-41.22974267,-44.42248532,-44.95541472
4561,-44.11282104,-30.63236997,-40.62592779,-43.69116789,-43.93585791
4571,-43.86294478,-30.21988262,-40.68603183,-43.6005455,-43.72673739
4581,-44.19447112,-29.92504511,-40.36466567,-43.67300405,-43.89406964
4591,-44.39174535,-29.75906977,-40.4996999,-44.03091927,-44.30911457
4601,-44.19890768,-30.52864126,-40.62477182,-43.69654941,-44.02638261
4611,-43.86152042,-29.77789501,-40.02776912,-43.32232395,-43.62044778
4621,-43.64324152,-30.05970401,-40.05963636,-43.27778083,-43.37381775
4631,-43.81721083,-29.99198982,-40.56756714,-43.51460847,-43.69412364
4641,-44.34663143,-30.38783192,-40.87206966,-43.8352759,-44.20390379
4651,-43.80606714,-30.34949866,-40.86273175,-43.50390217,-43.6387193
4661,-43.26874938,-30.65135869,-40.74596648,-42.99242864,-43.14211507
4671,-43.42473151,-30.85572311,-40.55899207,-43.04711268,-43.29133373
4681,-44.06237565,-30.45162242,-41.09011798,-43.86016057,-43.9840513
4691,-44.06754314,-30.07276303,-40.8363831,-43.75681782,-43.92057188
4701,-44.01916061,-29.81972622,-40.79714719,-43.52424675,-43.76186593
4711,-44.36290644,-29.46958201,-40.90888498,-43.86830388,-44.03210344
4721,-44.58098036,-29.36545674,-41.2591516,-44.26455507,-44.32248308
4731,-44.79729119,-29.86606132,-41.11894431,-44.42675149,-44.41696675
4741,-44.62944905,-29.8490856,-41.10061718,-44.19338494,-44.05207585
4751,-44.24747905,-29.60201846,-41.14847682,-43.75900497,-43.73736209
4761,-44.08857486,-30.12543497,-40.83251566,-43.93522088,-43.64844165
4771,-44.68992302,-30.13918309,-41.03478543,-44.12786521,-44.15840815
4781,-44.40235606,-29.68666086,-41.05943169,-43.79627362,-43.9739197
4791,-44.58237746,-30.23436647,-41.77617315,-44.16228828,-44.22634727
4801,-44.72696851,-30.001503,-41.34167956,-44.13682188,-44.21256822
4811,-44.79925351,-30.00644662,-41.17446215,-44.00158384,-44.22045703
4821,-44.50546141,-30.3185123,-41.17700174,-43.64539017,-44.10142461
4831,-43.95893663,-29.97042856,-40.60327779,-43.24797997,-43.72881716
4841,-44.27287923,-30.17935918,-40.88187453,-43.59183556,-44.07924933
4851,-44.45863581,-31.00536769,-40.85958896,-43.83771786,-44.22298291
4861,-45.0086822,-30.3801136,-40.83665587,-44.56563355,-44.73814967
4871,-44.35649853,-30.23085148,-40.51226738,-43.69522856,-43.8903915
4881,-44.14453527,-30.28361708,-40.45265098,-43.71200315,-43.82952451
4891,-44.40995668,-30.15154474,-40.78455225,-43.88175636,-44.11359813
4901,-44.63906278,-29.99362573,-40.9638629,-44.09374892,-44.33428486
4911,-44.44945783,-30.26473439,-41.0679416,-43.90992735,-44.20348003
4921,-44.65564999,-30.0440252,-40.87679586,-44.06009619,-44.3259705
4931,-44.36130708,-29.64139621,-40.59752913,-43.8285019,-44.04296787
4941,-44.16088275,-29.623915,-40.45910966,-43.48319453,-43.84571242
4951,-44.46255352,-29.69105519,-40.63041811,-43.91721305,-44.31674039
4961,-44.36910561,-29.92444076,-40.93383869,-44.03042362,-44.24839007
4971,-44.71196575,-30.62193551,-41.07699956,-44.46957293,-44.48706078
4981,-43.88814041,-30.16019795,-40.8867774,-43.76631051,-43.84008431
4991,-44.30807095,-29.82758907,-40.67401464,-43.94846582,-44.14403242
