iteration,Exact,STDM L0,STDM L1,STDM L2,STDM L3
851,-44.10090342,-31.38982125,-40.84589286,-43.85536661,-43.99733493
861,-43.71037963,-30.66319933,-40.54753299,-43.37239137,-43.61122632
871,-43.90973638,-30.82200775,-40.72507286,-43.72169082,-43.66186946
881,-44.45694858,-30.81571991,-41.01597589,-43.94362665,-44.11601832
891,-44.39808044,-31.05920155,-40.81269867,-44.14151864,-44.03432919
901,-44.04351386,-30.80113726,-40.93677162,-43.75769388,-43.750835
911,-44.48308909,-30.753481,-41.86629304,-44.30271115,-44.31725072
921,-44.26927885,-30.6173303,-41.62987317,-43.948436,-44.07831633
931,-44.62548642,-30.7730432,-41.66597774,-44.26987213,-44.47415813
941,-45.34557157,-30.53662562,-41.25553322,-44.71718625,-44.96007376
951,-45.02196019,-30.59835549,-41.53744843,-44.25524519,-44.6720071
961,-45.09540379,-30.45485364,-41.49333602,-44.31551712,-44.85664583
971,-44.60257302,-30.41120408,-41.18407373,-43.7821757,-44.36948027
981,-44.46593087,-30.51132202,-41.13872943,-43.88305198,-44.26695303
991,-44.38542543,-30.78634451,-41.17316946,-43.9177726,-44.26690141
1001,-44.65311269,-30.88939651,-41.10836668,-44.06812947,-44.61540042
1011,-44.68256019,-30.9059115,-40.88832307,-44.07499748,-44.59644865
1021,-44.91946519,-30.77940954,-40.69349021,-44.22538884,-44.64062874
1031,-44.58015336,-30.60995802,-40.75465179,-44.00358972,-44.33275974
1041,-44.95787846,-30.30481771,-40.33360997,-44.1921948,-44.80504121
1051,-44.02348312,-30.63705431,-39.94880574,-43.34445473,-43.78693667
1061,-44.15685894,-30.68391739,-40.20512263,-43.59394082,-44.02685692
1071,-44.68566167,-29.9732517,-40.5407725,-44.21770852,-44.61785727
1081,-44.63218366,-29.87011039,-40.52087825,-44.24116842,-44.41947477
1091,-44.23413796,-29.72871857,-40.76888333,-43.67626499,-44.04987568
1101,-44.23160234,-29.78309773,-40.75395113,-43.8326605,-44.02999066
1111,-45.30617966,-30.4210122,-41.65824317,-44.67476116,-45.03232366
1121,-45.04411688,-29.95334806,-41.31080626,-44.17965445,-44.87413726
1131,-44.95654731,-30.1436552,-41.27488186,-44.29262359,-44.78339174
1141,-44.67224631,-30.28459914,-41.32470471,-44.22104379,-44.34361276
1151,-44.39353141,-30.25293906,-41.00729022,-43.66994894,-44.09982217
1161,-44.50061568,-30.32810065,-40.97236302,-43.85027511,-44.17179902
1171,-44.06378168,-30.03097774,-40.92100739,-43.39949334,-43.82702956
1181,-44.42542123,-29.35026619,-40.71253065,-43.42786844,-43.92123408
1191,-44.26263185,-29.89542461,-41.20978832,-43.48993361,-43.97223215
1201,-44.48296522,-29.57891008,-41.28405933,-43.84771851,-44.25468308
1211,-44.78515586,-29.66743301,-40.74149233,-44.25977806,-44.42533829
1221,-44.41603873,-30.27393844,-40.74402699,-44.06206532,-43.93546168
1231,-44.71803183,-30.11375462,-41.1821983,-44.21004555,-44.38877282
1241,-45.18360956,-30.32529147,-41.46711916,-44.75453707,-44.62178495
1251,-44.81335237,-30.62235418,-41.40816403,-44.39699299,-44.45029736
1261,-44.54891783,-30.48457648,-41.24230781,-44.06217079,-44.34840274
1271,-44.49741674,-30.68525518,-41.24604334,-43.99976702,-44.41698424
1281,-45.04070075,-30.54434348,-41.33414867,-44.56399481,-44.71529562
1291,-44.51138576,-30.20292568,-40.95295538,-43.61165958,-44.19032838
1301,-44.59672196,-30.57151072,-40.92558773,-43.8287713,-44.27912176
1311,-44.74623822,-30.63225501,-41.07309879,-44.0214901,-44.567562
1321,-44.43009006,-30.30243556,-40.79210421,-43.76902174,-44.28108394
1331,-44.43426584,-30.22509822,-41.10044452,-43.71231359,-44.21002475
1341,-44.56757996,-29.87427619,-41.07196206,-43.81361057,-44.33077132
1351,-45.05222114,-30.23886182,-40.58861698,-44.08487447,-44.63945533
1361,-44.65851954,-30.42127109,-40.2210075,-43.89044167,-44.31713587
1371,-44.51315769,-30.05626922,-40.13647696,-44.0483975,-44.36353911
1381,-44.5541047,-30.06059073,-40.15751916,-44.02173387,-44.29672701
1391,-44.76843406,-29.96536522,-40.33105572,-44.22113852,-44.44567589
1401,-44.87065434,-30.09156154,-40.28125623,-44.28116508,-44.55712593
1411,-44.24056028,-30.19028796,-40.46738358,-43.70275867,-44.07301992
1421,-44.61827253,-30.25122643,-40.51770298,-44.14463634,-44.46557074
1431,-44.2479224,-29.80761997,-40.64324488,-43.76170967,-44.10586207
1441,-44.69383277,-29.0152853,-40.81666974,-44.14582767,-44.46700418
1451,-45.18603165,-29.62169595,-40.93928286,-44.41467418,-45.02076813
1461,-44.99718931,-29.80243656,-40.87118911,-44.1078189,-44.6544974
1471,-45.07990462,-30.16392517,-40.87789255,-44.17847741,-44.74036675
1481,-44.62854599,-30.39125687,-40.56011685,-43.90084472,-44.22568329
1491,-44.41821552,-30.44495349,-40.48163477,-43.73400277,-44.15219506
1501,-44.5900084,-29.85561416,-40.57225836,-43.87293206,-44.22270253
1511,-44.78871081,-30.39536427,-40.78551842,-44.06781279,-44.4486017
1521,-43.95248906,-30.9487024,-40.60284081,-43.29309949,-43.76517749
1531,-44.23959003,-30.66910556,-40.67119404,-43.68605729,-44.08088428
1541,-44.24902711,-30.91165523,-41.04134137,-43.5819055,-44.03258573
1551,-44.51140759,-30.71400181,-40.83716324,-43.63633377,-44.17078736
1561,-44.32251451,-30.72935457,-41.12759278,-43.65304387,-43.94135802
1571,-44.61458134,-31.60593527,-41.31942636,-44.06815347,-44.14692769
1581,-44.53610479,-30.33192595,-41.03626371,-43.97482334,-44.17685921
1591,-44.86134802,-29.94922624,-41.25791376,-44.1964818,-44.5586498
1601,-44.63981531,-29.61539776,-41.08880292,-43.8489333,-44.3150412
1611,-44.64309914,-29.41452899,-40.47556268,-43.85731269,-44.3215848
1621,-44.77050771,-29.20995567,-40.68220736,-43.83552562,-44.42476667
1631,-45.32558723,-29.27370084,-40.78222314,-44.5120937,-45.1270012
1641,-45.19852,-29.46264423,-40.77903228,-44.42268878,-44.901975
1651,-44.88038662,-29.9864965,-40.53551187,-44.20544051,-44.59302543
1661,-44.72090808,-29.97414005,-40.69680992,-44.01285354,-44.50335957
1671,-44.41672628,-29.7596899,-40.78998544,-43.57925493,-44.04683473
1681,-44.08494998,-29.56733995,-40.82639657,-43.62682843,-43.67644868
1691,-44.07230675,-29.4677842,-40.85766135,-43.62251366,-43.9291278
1701,-44.63390586,-29.55259583,-40.91244862,-44.00316606,-44.49270979
1711,-44.3810957,-29.53183867,-40.68425801,-43.89123243,-44.17395025
1721,-45.09719505,-29.64944633,-41.0920223,-44.60485302,-44.85751131
1731,-44.49287025,-29.54506801,-40.31812278,-44.23267468,-44.45458594
1741,-44.49540341,-29.76943711,-40.88539942,-44.15775104,-44.46056191
1751,-44.96993744,-30.30282136,-40.57972782,-44.43969789,-44.95491914
1761,-44.43195194,-30.89876429,-40.56950629,-43.73647225,-44.24869207
1771,-44.26137058,-30.32792061,-40.23354981,-43.62650214,-44.03366847
1781,-44.33270083,-30.06870979,-40.22232155,-43.83547046,-44.10998733
1791,-44.66640486,-29.88152735,-40.84831915,-44.04614825,-44.56669691
1801,-44.34557421,-29.98297557,-40.74632695,-43.73103904,-44.10803542
1811,-44.78853188,-30.22401378,-41.33838849,-43.93761418,-44.46563245
1821,-45.52133514,-29.94652318,-40.95604898,-44.730834,-45.18347428
1831,-45.16255751,-30.05211633,-40.81534208,-44.33306632,-44.99759344
1841,-44.86148206,-30.03634775,-40.39378343,-44.22396445,-44.57560737
1851,-44.39965931,-30.33906075,-40.52831752,-43.9291485,-44.2305058
1861,-45.47906759,-30.00028992,-40.93286535,-44.96307946,-45.15891803
1871,-44.86052475,-29.73418004,-40.44149507,-44.46060777,-44.65065367
1881,-44.72973547,-29.86803001,-40.75491163,-44.45052809,-44.37379604
1891,-44.83367787,-29.52702813,-40.78865373,-44.35162723,-44.48316899
1901,-44.98274156,-29.73566955,-40.69157646,-44.41584127,-44.76377302
1911,-45.14885733,-30.53341276,-40.55187576,-44.62504272,-44.88169897
1921,-44.74358048,-30.83038826,-40.81682768,-44.34203773,-44.26667846
1931,-44.69209041,-30.5018377,-40.35932131,-44.23086549,-44.18944562
1941,-45.02171545,-30.5390076,-40.85199062,-44.46920545,-44.61304058
1951,-44.79549856,-30.58920265,-40.46120949,-44.26080144,-44.54130394
1961,-44.28025282,-29.93703543,-40.33448065,-43.70405829,-44.08990931
1971,-44.79082375,-29.63930025,-40.96516109,-44.15509844,-44.56247707
1981,-45.00308691,-29.39081172,-40.68885169,-44.10623114,-44.62737547
1991,-44.63866646,-29.6491742,-40.2652272,-43.78547941,-44.18454261
2001,-44.98209881,-29.29554056,-40.67395672,-44.14747394,-44.58221532
2011,-45.17592551,-29.64018407,-41.16617655,-44.48409048,-44.8090061
2021,-44.94453009,-30.21733207,-40.46721795,-44.25548597,-44.46811496
2031,-44.13084857,-30.46529077,-40.28959014,-43.57026387,-43.86500139
2041,-44.09212032,-30.70630286,-40.76965899,-43.75570292,-43.89122133
2051,-44.46982572,-30.23855869,-40.72089647,-44.08741549,-44.2824612
2061,-44.42132489,-30.56554437,-40.55113365,-44.08368537,-44.22210218
2071,-44.11864366,-30.15948337,-40.19250495,-43.53918941,-43.83725706
2081,-43.95263061,-29.85793504,-40.55538218,-43.76935092,-43.78457939
2091,-44.6191032,-30.1217024,-41.02199993,-44.19655201,-44.31825372
2101,-45.19098359,-30.57776168,-41.45011017,-44.61442005,-44.90380351
2111,-44.19195662,-29.98376928,-41.10756674,-43.649212,-44.13524686
2121,-44.00275298,-30.13096862,-40.99976428,-43.36297554,-43.8880403
2131,-44.42530473,-29.87625342,-41.11874538,-43.89980422,-44.31268177
2141,-44.8191291,-29.94714528,-40.90512904,-44.15858642,-44.56608569
2151,-45.09853073,-29.7689669,-40.66309016,-44.36244195,-44.94898201
2161,-45.08851009,-29.65285441,-40.56554281,-44.48454508,-44.90720466
2171,-44.58485317,-30.23333576,-40.33511447,-44.08515027,-44.46499341
2181,-44.44046902,-30.32472841,-40.50784308,-43.81856134,-44.24645531
2191,-44.62663147,-30.59618487,-40.56485529,-44.00203767,-44.31591052
2201,-44.86924005,-30.32986933,-41.03330828,-44.08547744,-44.44559568
2211,-44.36716302,-30.0168795,-40.49156548,-43.7996573,-44.15780356
2221,-44.40183097,-30.03337442,-40.43392143,-43.9000203,-44.00508221
2231,-43.72728418,-30.14941472,-39.96472194,-43.08768966,-43.17232822
2241,-44.07774087,-30.02589286,-40.26116197,-43.42997883,-43.51857032
2251,-44.42898115,-30.10317408,-40.84725447,-43.88619014,-44.10447292
2261,-44.50750181,-30.01692795,-40.82802273,-44.20629576,-44.15839845
2271,-44.42425589,-29.62485453,-40.56113958,-44.02280504,-44.06324371
2281,-44.42508782,-29.73352452,-40.11556956,-44.06663291,-44.18580554
2291,-44.73765362,-30.31307414,-40.37615609,-44.19278859,-44.45235456
2301,-45.04950325,-30.85833307,-41.14688707,-44.79322594,-44.70349241
2311,-44.7372477,-31.074707,-41.41522721,-44.47936368,-44.40421745
2321,-44.61323341,-30.77227995,-40.9006459,-44.18672238,-44.38251949
2331,-44.87228195,-30.5601914,-40.68883093,-44.38936869,-44.72943091
2341,-44.72559086,-30.37387224,-40.84089643,-44.30563198,-44.51603591
2351,-44.24296783,-30.11440956,-40.93140203,-43.72104266,-44.16026105
2361,-44.23149336,-30.40649803,-41.05615722,-44.01783803,-44.37054127
2371,-44.87597352,-30.63459593,-41.05690649,-44.4721206,-44.78242912
2381,-44.86347321,-30.34539044,-40.69877328,-44.55684223,-44.61130197
2391,-44.10006466,-30.1459348,-40.82187332,-43.9905141,-43.78716334
2401,-44.01786222,-30.30201608,-40.64204927,-43.52967507,-43.66089788
2411,-44.61959181,-30.2740568,-40.94596728,-44.0612113,-44.12711724
2421,-44.24837717,-29.23379561,-39.74201204,-43.52899178,-43.91715311
2431,-44.29041427,-29.66886989,-40.47799574,-43.55519052,-44.03783096
2441,-44.38512666,-30.64819329,-40.98543236,-43.6814394,-44.17008396
2451,-44.73621487,-30.95248579,-40.97832502,-44.07704519,-44.46975067
2461,-44.92431803,-30.67772992,-41.30063745,-44.10932652,-44.7455625
2471,-45.1565154,-30.17678006,-41.56724223,-44.42737956,-44.97238323
2481,-45.0703157,-29.98290458,-41.49233094,-44.64494021,-45.02241761
2491,-45.32192605,-29.77743437,-41.66125528,-44.93499204,-45.23550027
2501,-44.96064061,-30.16490678,-41.21666679,-44.50302798,-44.72812506
2511,-44.898854,-30.38881584,-41.58351213,-44.7216532,-44.89268902
2521,-45.21407921,-31.35213892,-41.54270715,-44.80553964,-45.00479163
2531,-45.36879558,-31.1926959,-41.72175711,-45.03424085,-45.15626321
2541,-45.06259356,-31.1193123,-41.56611198,-44.45289727,-44.85667987
2551,-44.94023,-30.54905662,-41.94718006,-44.62139087,-44.99216213
2561,-44.39852276,-29.71447893,-40.9800981,-44.13418596,-44.39062405
2571,-43.78801384,-29.61574251,-40.6679102,-43.3589026,-43.62864228
2581,-44.25858177,-30.36252934,-40.71301111,-43.58572472,-44.14049675
2591,-43.90582651,-30.56676123,-40.61419044,-43.26927074,-43.56157418
2601,-43.89590772,-30.40089787,-40.24154928,-43.41497664,-43.80206694
2611,-43.99491484,-29.8872921,-40.12403429,-43.44529484,-43.76098117
2621,-44.10774989,-29.87932828,-40.20516819,-43.75165523,-43.9673937
2631,-44.53723747,-29.80109849,-39.86725387,-44.09811405,-44.26152874
2641,-44.40621451,-29.41586209,-40.65428524,-44.07833298,-44.21022055
2651,-44.55250298,-28.83079117,-40.49965401,-44.37175811,-44.35043704
2661,-44.52016407,-29.29234757,-41.05296617,-44.3357013,-44.32029396
2671,-44.29894794,-29.77766947,-40.75013357,-43.78104759,-44.04887808
2681,-44.04336719,-29.98058232,-40.55004197,-43.56355356,-43.65099476
2691,-44.19267428,-29.84963879,-40.40212527,-43.68198185,-43.90843747
2701,-44.30240029,-29.61203979,-40.81072023,-43.81646933,-43.98007328
2711,-44.49453745,-29.57546047,-40.73410972,-44.05758098,-44.17772155
2721,-44.27683964,-30.11306615,-40.78272552,-43.63677127,-43.88195661
2731,-44.40529977,-30.30906903,-40.61298345,-43.8858332,-43.89948863
2741,-44.17205977,-30.20043625,-40.43567468,-43.66645221,-43.83651959
2751,-44.24225028,-29.97251203,-40.51363777,-43.77629292,-43.92996906
2761,-43.72573063,-29.72865813,-40.49791057,-43.40632874,-43.42469796
2771,-44.37198898,-29.66165318,-40.44854863,-43.7935284,-43.96498265
2781,-45.13134509,-30.04787753,-40.89202668,-44.48054897,-44.78843624
2791,-45.44460917,-30.08878565,-41.15444584,-44.85664647,-45.11353395
2801,-44.87179401,-29.93977723,-41.09796232,-44.12630671,-44.48932193
2811,-44.59323759,-30.00291071,-41.39708231,-43.91711305,-44.5191816
2821,-45.13612269,-29.85514728,-41.69210177,-44.29585887,-45.05907828
2831,-45.63988184,-30.04050425,-41.12630094,-44.69545662,-45.36868307
2841,-45.78651634,-30.52810188,-41.43895646,-45.15576785,-45.4891246
2851,-45.42454074,-30.34291079,-41.96154005,-44.97992295,-45.26784765
2861,-44.40143279,-30.72074055,-41.63208943,-43.89790801,-44.19231747
2871,-44.38789151,-30.55427314,-41.26067146,-43.92629735,-44.24490916
2881,-44.78815578,-30.19637471,-41.30695422,-44.14922562,-44.51609698
2891,-44.48290921,-29.72115061,-40.4069472,-43.87612345,-44.253823
2901,-44.31839914,-29.6347012,-40.48944691,-43.7157365,-43.9024722
2911,-44.2288161,-29.65525143,-40.61259691,-43.69783362,-43.86650604
2921,-43.87285439,-30.06124494,-40.68873975,-43.21245264,-43.5439792
2931,-44.28462659,-30.50948002,-41.03995471,-43.83541941,-44.09469162
2941,-44.79064136,-30.34658371,-40.96969548,-44.3864053,-44.59829607
2951,-45.04366631,-30.23493917,-40.97185126,-44.17861994,-44.69341177
2961,-44.91201531,-29.69271064,-41.35982093,-44.40834974,-44.73736732
2971,-45.20391522,-29.44891571,-41.5180725,-44.74417205,-44.98688694
2981,-45.09433699,-29.52987209,-41.58320978,-44.57753703,-45.00858368
2991,-45.13861072,-30.10196161,-42.15339011,-44.67873428,-44.94394136
3001,-45.29127303,-30.62446384,-42.03559415,-44.74584769,-45.0641914
3011,-44.81090781,-30.33776109,-41.78133429,-44.49106085,-44.50016341
3021,-44.84785394,-30.07764649,-41.8247131,-44.5726509,-44.54153856
3031,-44.69690283,-30.21846512,-41.03713116,-44.28458979,-44.41157017
3041,-44.43807848,-30.730361,-41.11261378,-44.10770141,-44.10838278
3051,-44.37275816,-30.89293,-41.06105858,-43.89769857,-44.07541589
3061,-44.18577751,-30.56337062,-40.8694455,-43.70712571,-43.93390388
3071,-44.66146407,-30.39625788,-41.24450867,-44.12982686,-44.34029267
3081,-44.97049022,-30.28476242,-40.91377589,-44.52981824,-44.73448812
3091,-44.50211225,-30.63539336,-40.90451923,-44.10215551,-44.54854691
3101,-44.38651142,-29.68310855,-40.48087545,-43.76149168,-44.32194014
3111,-44.45414721,-29.47785499,-40.30362906,-43.83351368,-44.29517921
3121,-44.3805119,-29.68475487,-40.53274932,-43.80530529,-44.06403993
3131,-44.77129295,-29.85510047,-40.847843,-44.28510476,-44.50401937
3141,-44.51896667,-30.22789319,-41.10026336,-43.98208722,-44.32340119
3151,-44.57240933,-29.96873266,-41.22268647,-44.07755144,-44.34212354
3161,-44.96214354,-30.37043682,-41.66418065,-44.44019229,-44.52174359
3171,-44.67716212,-29.72246169,-41.18111749,-44.12270321,-44.28760073
3181,-44.71183279,-29.61386316,-40.66927904,-43.90270115,-44.30758136
3191,-44.2299305,-29.55677333,-40.13469815,-43.3661311,-43.62876832
3201,-44.09837747,-30.24165911,-40.14859131,-43.51368347,-43.68851845
3211,-43.99813299,-29.73350143,-40.06575081,-43.49147401,-43.60307178
3221,-44.22416867,-30.45722706,-40.17504752,-43.58587077,-43.98108504
3231,-44.31541689,-30.66225049,-40.67530157,-43.48037362,-43.9830706
3241,-44.66512921,-30.54468015,-41.09291565,-43.88799724,-44.22091998
3251,-44.53683642,-30.84251797,-40.92356324,-43.70129912,-44.17318196
3261,-44.43226816,-30.25068391,-40.57797463,-43.72808985,-44.19497619
3271,-44.78637773,-30.37693579,-40.94681402,-44.08920224,-44.44031638
3281,-45.29338234,-30.35981235,-41.57006502,-44.69498324,-44.71964874
3291,-45.08061141,-30.51533449,-41.53249655,-44.74999337,-44.73904823
3301,-45.41224384,-30.5235842,-41.58536311,-45.29440662,-45.07350509
3311,-44.83564265,-30.26161232,-41.17237338,-44.66676525,-44.74330054
3321,-44.46840592,-29.89582982,-41.16804062,-44.1830041,-44.31330572
3331,-44.8391867,-30.38787231,-41.12112819,-44.52243298,-44.83876295
3341,-44.48391695,-30.22443204,-41.00553294,-43.89564449,-44.33247459
3351,-44.58813975,-29.9279371,-40.61700531,-44.35744945,-44.40176875
3361,-44.61676083,-29.81504207,-40.51781073,-44.03573985,-44.33251483
3371,-44.79572818,-29.31313561,-40.63504387,-44.15763529,-44.47059458
3381,-44.50898723,-29.46188238,-40.73577446,-43.89858637,-44.20071531
3391,-45.00168905,-29.56445318,-40.7382492,-44.52548483,-44.61827057
3401,-44.8360454,-29.78847896,-40.4591201,-44.31312233,-44.36303253
3411,-45.14651649,-30.20696142,-40.83934127,-44.55666176,-44.62314627
3421,-44.47190277,-30.17215534,-40.28742641,-43.93474009,-44.16932719
3431,-44.27834251,-30.13721177,-39.94975717,-43.64114654,-43.93462469
3441,-44.43275201,-29.41445193,-39.7172226,-43.88658643,-44.12549664
3451,-44.61545773,-29.96694869,-40.06007983,-44.00147457,-44.26637582
3461,-44.27119696,-30.5061637,-40.08753746,-43.71464139,-43.93888502
3471,-44.37245814,-30.04344533,-40.12570122,-43.66275323,-43.99332476
3481,-44.06649437,-30.47605928,-40.32814601,-43.6206795,-43.85306561
3491,-44.01713794,-29.77186871,-40.3138503,-43.60038088,-43.91072866
3501,-44.58790472,-30.04853997,-40.68022653,-44.01435379,-44.28595203
3511,-44.7741004,-30.42790127,-40.40577938,-43.96041682,-44.42207004
3521,-44.70762066,-30.60734868,-41.24888119,-43.98073263,-44.39949836
3531,-45.03238164,-30.15462707,-40.86505945,-44.52349355,-44.73527769
3541,-44.88430904,-30.37632717,-41.08426937,-44.24670465,-44.55515763
3551,-44.81218477,-30.09669241,-40.6500858,-44.29678046,-44.44344256
3561,-44.92665096,-29.98286868,-40.94341529,-44.48348909,-44.69688524
3571,-44.17922573,-29.49474003,-40.27907643,-43.88455871,-43.854764
3581,-44.36804927,-29.78914566,-40.70091734,-43.89674654,-43.96304096
3591,-44.38719488,-29.70570423,-40.7482555,-43.57451612,-43.8449996
3601,-44.09130836,-29.78442797,-40.22696914,-43.34067841,-43.80265683
3611,-44.59378551,-29.57996888,-39.85979028,-43.84462907,-44.24765873
3621,-44.11085658,-29.69355081,-39.61640484,-43.44860985,-43.7969289
3631,-44.25607949,-29.21761052,-40.14423642,-43.51372642,-44.03143242
3641,-43.6634198,-30.17752135,-40.18437094,-43.00020148,-43.4377308
