implementation,area_um2,pt_delay_ns,pt_power_mw,area_delta_pct,delay_delta_pct,power_delta_pct,period_ns,rtl_mismatches
original_l3_area_winner,3626.640022,4.39051,0.210208,0.00,0.00,0.00,10.0,0
factored_midpoint_l3,3678.120012,3.96043,0.205722,1.42,-9.79,-2.13,10.0,0
