oadm_level,pace_level,oadm_area_um2,pace_area_um2,area_delta_pct,oadm_power_mw,pace_power_mw,power_delta_pct,oadm_delay_ns,pace_delay_ns,delay_delta_pct,oadm_mae,pace_mae,mae_delta_pct,oadm_mred,pace_mred,mred_delta_pct,oadm_rmse,pace_rmse,rmse_delta_pct
L0,L1,1287.720009,956.880000,34.57,0.0760438,0.0391335,94.32,3.15187,2.42133,30.17,0.044072478,0.028652814,53.82,0.042928442,0.026218122,63.74,0.069134161,0.045861404,50.75
L1,L2,2755.800019,1532.160000,79.86,0.1396310,0.0633320,120.47,4.01663,3.15801,27.19,0.012060134,0.015342894,-21.40,0.011202140,0.014992885,-25.28,0.019606173,0.022565317,-13.11
L2,L3,2941.920000,2175.120000,35.25,0.1645370,0.1065510,54.42,4.38444,3.53738,23.95,0.008068416,0.005982764,34.86,0.008365269,0.005651984,48.01,0.009489801,0.009353566,1.46
L3,L4,3626.640022,3196.430000,13.46,0.2102080,0.1542190,36.30,4.40363,3.65836,20.37,0.003429647,0.003896897,-11.99,0.003205198,0.003833633,-16.39,0.004594708,0.006065880,-24.25
