top,area_um2,delay_ns,slack_ns,power_mw,dc_report,pt_dir,adp,critical_startpoint,status
oadm_runtime_root_opt,3174.12001,3.96574,6.01426,0.12842699999999999,experiments/runtime_separate_truncation/dc/oadm_runtime_root_opt/oadm_runtime_root_opt.dc.rpt,experiments/runtime_separate_truncation/pt/oadm_runtime_root_opt,12587.7346884574,level[0] (input port clocked by vclk),pass
runtime_both,3124.800013,3.91689,6.06311,0.113731,experiments/runtime_separate_truncation/dc/runtime_both/runtime_both.dc.rpt,experiments/runtime_separate_truncation/pt/runtime_both,12239.49792291957,level[0] (input port clocked by vclk),pass
