top,level,mode,dataset,cases,mred,rmse,mean_error,max_relative
oadm_runtime_root_opt,0,MUL,uniform_100k,100000,0.03125838975990019,0.08346082582208238,-0.00016382062530707585,0.24712011980819668
oadm_runtime_root_opt,0,DIV,uniform_100k,100000,0.042889638371231956,0.06860003686845399,-0.03807841151282942,0.33108716734474203
oadm_runtime_root_opt,1,MUL,uniform_100k,100000,0.007585899630725376,0.020802548119394318,-0.00013685956573676337,0.06140731816727838
oadm_runtime_root_opt,1,DIV,uniform_100k,100000,0.0111756303115603,0.019633224445262394,-0.008944861097790358,0.09783495669165086
oadm_runtime_root_opt,2,MUL,uniform_100k,100000,0.001889525879430311,0.005222750071201538,-0.00018225446319770086,0.015229834597752056
oadm_runtime_root_opt,2,DIV,uniform_100k,100000,0.00864620630693652,0.0097684760915637,-0.0071165081314817635,0.02965707077392383
oadm_runtime_root_opt,3,MUL,uniform_100k,100000,0.00048097439133306795,0.001319292842592434,-0.00018366407013129462,0.0038108221257221017
oadm_runtime_root_opt,3,DIV,uniform_100k,100000,0.0033044637716033746,0.004868944504949858,-0.0028882654862180915,0.013270266884259724
oadm_runtime_root_opt,0,MUL,boundaries,2304,0.03221201349754701,0.08398407498570792,-0.00023057725694444444,0.25000017881390235
oadm_runtime_root_opt,0,DIV,boundaries,2304,0.043283888567773016,0.07081614637078804,-0.038862375036304825,0.332031369442106
oadm_runtime_root_opt,1,MUL,boundaries,2304,0.007845751055928416,0.021483231059498096,-0.00023057725694444444,0.06250022351737794
oadm_runtime_root_opt,1,DIV,boundaries,2304,0.011432974093931356,0.020845370314421574,-0.009193355125280514,0.09912127273853594
oadm_runtime_root_opt,2,MUL,boundaries,2304,0.0019659284614243146,0.005855205644849464,-0.00023057725694444444,0.015625234693246837
oadm_runtime_root_opt,2,DIV,boundaries,2304,0.008775701808678121,0.01028018652990817,-0.007237686993770097,0.029083460289232563
oadm_runtime_root_opt,3,MUL,boundaries,2304,0.0005215638480402011,0.0019406010803100034,-0.00023057725694444444,0.003906487487214061
oadm_runtime_root_opt,3,DIV,boundaries,2304,0.003542484531677277,0.0051825614602897686,-0.003002578300329342,0.012939348532289724
oadm_runtime_root_opt,0,MUL,signed_exponents,2000,0.030219963147567603,44463364.39052828,877950.4392512762,0.22614219733251173
oadm_runtime_root_opt,0,DIV,signed_exponents,2000,0.04128343303409875,32796995.612765525,-533812.9218386378,0.319015516023704
oadm_runtime_root_opt,1,MUL,signed_exponents,2000,0.007323500027591992,14259200.770365683,615656.1562809482,0.05282568098777901
oadm_runtime_root_opt,1,DIV,signed_exponents,2000,0.0111048681738372,5670416.998879257,32006.077883090573,0.09312574459064374
oadm_runtime_root_opt,2,MUL,signed_exponents,2000,0.0019193264203285346,6085956.9935115455,-14984.436578490371,0.012286322427357402
oadm_runtime_root_opt,2,DIV,signed_exponents,2000,0.0087044345013306,3555399.4783745646,52112.26221746598,0.024149916199909995
oadm_runtime_root_opt,3,MUL,signed_exponents,2000,0.000476056847799136,1647549.4606640178,18250.601270860498,0.0031266337747772907
oadm_runtime_root_opt,3,DIV,signed_exponents,2000,0.0033218177092676302,1711478.781065444,-220.3830226705182,0.013197172456911418
runtime_both,0,MUL,uniform_100k,100000,0.03205901266761533,0.0844190838678355,-0.011699351631166451,0.2579568033088705
runtime_both,0,DIV,uniform_100k,100000,0.04578359229682904,0.07099897299087321,-0.041086897535778634,0.3327287529895496
