level,group,dataset,mode,count,mred,rmse,mae,max_relative
0,mul_drop,random_200k,mul,200000,0.031331976133929344,0.08357149469751439,0.06276507206022965,0.24838086120091454
0,mul_drop,random_200k,div,200000,0.04311380996987964,0.05524748246533427,0.0425209402136872,0.31240942822787204
0,mul_drop,boundary_grid,mul,131072,0.03143391759523781,0.08364427403938637,0.06299535557001054,0.2500448919897374
0,mul_drop,boundary_grid,div,131072,0.04312000218222209,0.0552639818135459,0.04254763356955807,0.3122711961731666
0,mul_drop,signed,mul,2000,0.03102033450168345,36490920.47496551,2535835.6303466386,0.22217048926930175
0,mul_drop,signed,div,2000,0.044032628399312546,16708845.845772203,1468031.0905716303,0.28958796846841983
0,mul_drop,cell_edges_diagonal,mul,10718,0.04298408629149261,0.10667321468193856,0.07957721722733918,0.2499153606708979
0,mul_drop,cell_edges_diagonal,div,10718,0.03848496636991129,0.042253772364386315,0.038449292286370965,0.3055421163662538
0,mul_drop,residual_boundaries,mul,166464,0.03152424390933626,0.08088247176125939,0.060824410344762624,0.2500448919897374
0,mul_drop,residual_boundaries,div,166464,0.04202906374975015,0.054914094504733425,0.04198961322068918,0.31092534716162284
0,mul_drop,fresh_200k_seed_20260916,mul,200000,0.03140891254917647,0.08358053643626522,0.06282746517293593,0.24948277960299592
0,mul_drop,fresh_200k_seed_20260916,div,200000,0.04314637309518428,0.05525578924022397,0.04254448974790053,0.31222234754884903
0,div_drop,random_200k,mul,200000,0.03245312418110808,0.08558873431104579,0.06530462189918661,0.24752795662613192
0,div_drop,random_200k,div,200000,0.04351604480294047,0.05594083511246938,0.04294547668609097,0.3058583378688368
0,div_drop,boundary_grid,mul,131072,0.032513818065149656,0.08567197503383107,0.06543487140250245,0.2506885319980238
0,div_drop,boundary_grid,div,131072,0.04353487428929443,0.055977187303705225,0.04298106694995205,0.30461995305672196
0,div_drop,signed,mul,2000,0.03265135665170334,41568655.114456706,3036007.6591057647,0.23344338072916693
