oadm,candidate,oadm_mred,candidate_mred,oadm_rmse,candidate_rmse,oadm_area,candidate_area,area_change_pct,oadm_delay,candidate_delay,oadm_power_mw,candidate_power_mw,oadm_adp,candidate_adp
oadm_div_l0,input_div_b3_bias1,0.04276105238432493,0.032948409731570816,0.056344348959393324,0.04298135845754063,516.960004,419.040004,-18.941504031712284,1.7578,2.12277,0.024683,0.0167326,908.7122950312,889.5255492910801
oadm_div_l1,input_div_b5_bias1,0.010796596485068427,0.008289644348229604,0.01616158943435105,0.01077002901524108,1130.400003,714.600006,-36.78343912743248,2.70339,3.93083,0.0661543,0.0348688,3055.91206411017,2808.9711415849797
oadm_div_l2,input_div_b7_bias1,0.0036620854510558383,0.0020697013784056893,0.005316568232606285,0.00268856088010913,1484.640007,1108.440009,-25.339475982476344,2.73617,6.26881,0.0750523,0.0640272,4062.2274479531898,6948.59981281929
oadm_div_l3,input_div_b7_bias1,0.0027913450886907494,0.0020697013784056893,0.0034670108426050478,0.00268856088010913,1865.520005,1108.440009,-40.58278624570419,3.08149,6.26881,0.0834119,0.0640272,5748.581240207451,6948.59981281929
oadm_mul_l0,input_mul_b3_bias1,0.0312292264245319,0.029347509991243182,0.08329089359170633,0.07782775880314596,516.600003,399.600002,-22.64808368574477,1.37323,1.29376,0.0214399,0.0162564,709.41062211969,516.98649858752
oadm_mul_l1,input_mul_b5_bias1,0.007593492349391931,0.007324227003304337,0.020876270294561024,0.01946986569885008,948.600003,639.719999,-32.56167014791798,1.85617,1.75723,0.038865899999999995,0.0284791,1760.76286756851,1124.1351738427702
oadm_mul_l2,input_mul_b7_bias1,0.001897913629639591,0.0018328392111825699,0.00524652132457828,0.004865602758426175,1317.600004,924.119997,-29.863388418751093,2.14132,2.08209,0.057210000000000004,0.044818199999999996,2821.4032405652797,1924.10100455373
oadm_mul_l3,input_mul_b9_bias1,0.00047254994630988804,0.0004589097412412124,0.0013063888249086764,0.001217949767002181,1645.920004,1264.319991,-23.18460265824681,2.47074,2.33063,0.0764037,0.06578769999999999,4066.6403906829605,2946.6621006243304
