level,x_residual_drop,y_residual_drop,wn_drop,coefficient_bits,coefficients,cases,mae,mred,rmse,mae_change_vs_current_pct,mred_change_vs_current_pct,rmse_change_vs_current_pct,active_x_residual_bits,active_y_residual_bits,cost_proxy,within_2pct,within_5pct,is_current
0,18,18,18,7,59,250000,0.04234404918495703,0.04268503760354199,0.0566326425161487,0.0,0.0,0.0,5,5,60,yes,yes,yes
0,18,19,18,7,59,250000,0.04551719926728532,0.04557542873578152,0.05764830628142694,7.49373322439737,6.771438645750871,1.7934246401951404,5,4,54,no,no,no
0,18,20,18,7,58,250000,0.049090136342152084,0.048238949036579576,0.06312917576918978,15.931606180902612,13.011377627500842,11.471358150361088,5,3,48,no,no,no
0,18,21,18,7,56,250000,0.061568943488038395,0.059108755165958655,0.08066606922136925,45.40164361492174,38.476521246062646,42.4374100120217,5,2,42,no,no,no
0,18,22,18,7,52,250000,0.09964883064103636,0.0960502505520906,0.12589712842837347,135.3313690095495,125.02088775041958,122.30488078050415,5,1,36,no,no,no
0,19,18,18,7,60,250000,0.04465537130359825,0.045662320878501764,0.05702363961130853,5.458434332875117,6.975004456157996,0.6904094137022643,4,5,54,no,no,no
0,19,19,18,7,59,250000,0.04439755841563671,0.044605956317827614,0.05843463883264648,4.849581630018518,4.500215584034595,3.181903998182567,4,4,48,no,yes,no
0,19,20,18,7,58,250000,0.04803208993100819,0.04720168167569717,0.06346240999037979,13.432916444069942,10.58132855382652,12.059771839683432,4,3,42,no,no,no
0,19,21,18,7,56,250000,0.060825598645775705,0.05813754995368815,0.0805325390525635,43.64615528404485,36.201238695556206,42.20162696734447,4,2,36,no,no,no
0,19,22,18,7,52,250000,0.09880227698665019,0.09443302058303446,0.12576410772094734,133.33214203272337,121.23213632872245,122.06999732545754,4,1,30,no,no,no
0,20,18,18,7,61,250000,0.047255558645358776,0.049225513264999375,0.061312535768503096,11.599054778508489,15.322642379292795,8.263596831138397,3,5,48,no,no,no
0,20,19,18,7,60,250000,0.0473371679510269,0.048464201833911626,0.06242411287754587,11.791783880327888,13.539086656187195,10.226382001768242,3,4,42,no,no,no
0,20,20,18,7,59,250000,0.050733081714000934,0.05068775330639076,0.06657134267154265,19.8115973566934,18.74829249812986,17.549419758330977,3,3,36,no,no,no
0,20,21,18,7,57,250000,0.06282353564644082,0.06065516711842856,0.08234956294292711,48.36449715054469,42.0993643763252,45.41006614594274,3,2,30,no,no,no
0,20,22,18,7,53,250000,0.09959254708333189,0.09538813315655593,0.12652627749186515,135.1984493696288,123.46971798998877,123.41581086523803,3,1,24,no,no,no
0,21,18,18,7,64,250000,0.061952269727414154,0.06559090105787156,0.07703361630913454,46.30690951828731,53.66251206588806,36.023347819534536,2,5,42,no,no,no
0,21,19,18,7,63,250000,0.061579210490208584,0.06446603450657314,0.07687578242758474,45.425890238397315,51.02724075197669,35.74465010292207,2,4,36,no,no,no
0,21,20,18,7,62,250000,0.06384800520454659,0.06559747119302646,0.07986839461311451,50.783891558554494,53.67790419278724,41.028903234279035,2,3,30,no,no,no
0,21,21,18,7,59,250000,0.07163180401865374,0.07052807400382187,0.09207623601201984,69.16616477977584,65.22903097541017,62.58509566415598,2,2,24,no,no,no
0,21,22,18,7,55,250000,0.10385988868198878,0.1001448934428483,0.13198606906606164,145.2762328617491,134.61357671274095,133.05652571028457,2,1,18,no,no,no
0,22,18,18,7,69,250000,0.10208782794458496,0.1063313199639765,0.12270461461244289,141.09132194389255,149.10677355278509,116.66764812793944,1,5,36,no,no,no
0,22,19,18,7,68,250000,0.10105180084710048,0.10463036113285161,0.12156093837288265,138.6446331707921,145.12186706887059,114.6481834009772,1,4,30,no,no,no
