design,cases,mae,mred,rmse
current_L0_dx18_dy18,10000,0.041770060556892884,0.04198812700286405,0.0560411545465734
control_L0_dx18_dy18_c60,10000,0.04684321589429324,0.04735350094552356,0.0567268245498699
candidate_L0_dx19_dy18_c59,10000,0.04152956849432417,0.042062984690544,0.05898381518832119
candidate_L0_dx19_dy18,10000,0.043947206894934254,0.04481067263035189,0.05639994844571959
candidate_L0_dx18_dy19,10000,0.04504887641035159,0.044956524366980395,0.057224841553186995
current_L1_dx16_dy16,10000,0.011360603575438218,0.010698462785717788,0.016122211392234336
candidate_L1_dx17_dy16,10000,0.011613176806401199,0.011092723262132984,0.016897626083788555
candidate_L1_dx16_dy17,10000,0.012124730002826626,0.011350096699676081,0.01645058308888606
