family,top,level,bits,variant,wrapper,dataset,cases,rmse,mred,max_relative,area_um2,delay_ns,power_mw,adp_um2_ns,dc_report,pt_dir,status
oadm,input_l1_narrow_b6,1,6,narrow,common,uniform_10k,10000,0.01688176191890139,0.011405532176512653,0.08712609649742833,1067.400003,2.42198,0.0584664,2585.2214592659398,experiments/oadm_input_width/dc/input_l1_narrow_b6/input_l1_narrow_b6.dc.rpt,experiments/oadm_input_width/pt/input_l1_narrow_b6,pass
oadm,input_l1_mask_b7,1,7,mask,common,uniform_10k,10000,0.01636909082217209,0.010848139015994199,0.08712609649742833,1130.400003,2.70339,0.0661548,3055.91206411017,experiments/oadm_input_width/dc/input_l1_mask_b7/input_l1_mask_b7.dc.rpt,experiments/oadm_input_width/pt/input_l1_mask_b7,pass
oadm,input_l1_narrow_b7,1,7,narrow,common,uniform_10k,10000,0.01636909082217209,0.010848139015994199,0.08712609649742833,1108.440001,2.47775,0.0629526,2746.4372124777497,experiments/oadm_input_width/dc/input_l1_narrow_b7/input_l1_narrow_b7.dc.rpt,experiments/oadm_input_width/pt/input_l1_narrow_b7,pass
oadm,input_l1_mask_b8,1,8,mask,common,uniform_10k,10000,0.01636909082217209,0.010848139015994199,0.08712609649742833,1130.400003,2.70339,0.0661548,3055.91206411017,experiments/oadm_input_width/dc/input_l1_mask_b8/input_l1_mask_b8.dc.rpt,experiments/oadm_input_width/pt/input_l1_mask_b8,pass
oadm,input_l1_narrow_b8,1,8,narrow,common,uniform_10k,10000,0.01636909082217209,0.010848139015994199,0.08712609649742833,1108.440001,2.47775,0.0629526,2746.4372124777497,experiments/oadm_input_width/dc/input_l1_narrow_b8/input_l1_narrow_b8.dc.rpt,experiments/oadm_input_width/pt/input_l1_narrow_b8,pass
oadm,input_l2_control_b23,2,23,control,common,uniform_10k,10000,0.005335994536572752,0.0036550448943586666,0.02415865135880778,1484.640007,2.73617,0.0750523,4062.2274479531898,experiments/oadm_input_width/dc/input_l2_control_b23/input_l2_control_b23.dc.rpt,experiments/oadm_input_width/pt/input_l2_control_b23,pass
oadm,input_l2_mask_b4,2,4,mask,common,uniform_10k,10000,0.021293094632344307,0.015713451708516464,0.06607715727574248,1354.320006,2.6972,0.06821100000000001,3652.8719201832,experiments/oadm_input_width/dc/input_l2_mask_b4/input_l2_mask_b4.dc.rpt,experiments/oadm_input_width/pt/input_l2_mask_b4,pass
oadm,input_l2_narrow_b4,2,4,narrow,common,uniform_10k,10000,0.021293094632344307,0.015713451708516464,0.06607715727574248,1024.920005,2.30325,0.046546699999999996,2360.6470015162495,experiments/oadm_input_width/dc/input_l2_narrow_b4/input_l2_narrow_b4.dc.rpt,experiments/oadm_input_width/pt/input_l2_narrow_b4,pass
oadm,input_l2_mask_b5,2,5,mask,common,uniform_10k,10000,0.011149651698447893,0.008259930305542984,0.040736766580718585,1399.320007,2.7148,0.0704766,3798.8739550036,experiments/oadm_input_width/dc/input_l2_mask_b5/input_l2_mask_b5.dc.rpt,experiments/oadm_input_width/pt/input_l2_mask_b5,pass
oadm,input_l2_narrow_b5,2,5,narrow,common,uniform_10k,10000,0.011149651698447893,0.008259930305542984,0.040736766580718585,1120.680006,2.45596,0.056118100000000004,2752.3452675357603,experiments/oadm_input_width/dc/input_l2_narrow_b5/input_l2_narrow_b5.dc.rpt,experiments/oadm_input_width/pt/input_l2_narrow_b5,pass
