mode,level,cases,mean_signed_error,mean_abs_error,rmse_abs_error,mean_signed_rel_pct,mred_pct,rmse_rel_pct,max_rel_pct,worst_x,worst_y,worst_expected,worst_actual
MUL,0,10007,0.000539711576077728,0.06256937255225939,0.08335541632871027,-0.15628680690419813,3.1439545595561964,4.584553037582335,25.0,1.0,1.0,1.0,0.75
MUL,1,10007,0.0003602652321223938,0.015747646631340064,0.020955484371845322,0.010856548152483145,0.7685319516238412,1.0828671520151683,6.25,1.0,1.0,1.0,0.9375
MUL,2,10007,-4.529575377445692e-06,0.0039138520805203575,0.005227879081317526,-0.0005253152832927802,0.18992473504096946,0.2656577779096418,1.5625,1.0,1.0,1.0,0.984375
MUL,3,10007,-6.4771915430856155e-06,0.0009720939711648373,0.0012955746347405857,-7.92192937034993e-05,0.04695732146350792,0.06544903313572374,0.390625,1.0,1.0,1.0,0.99609375
MUL,4,10007,-2.3405892884965305e-06,0.00024514146998850394,0.0003263749014752959,-5.509674692980449e-05,0.011807452981473288,0.01641509291499811,0.09765625,1.0,1.0,1.0,0.9990234375
DIV,0,10007,-0.03994282571723921,0.04477520364764485,0.07027800387357307,-3.8922541773549697,4.404906091407566,6.776674234556299,33.33332141240533,1.0,1.9999998807907104,0.5000000298023242,0.333333412806193
DIV,1,10007,-0.011442596561458433,0.012654195909258634,0.020702946380999485,-1.044991745884361,1.1771300354612804,1.8147284347212946,9.602884267610778,1.012082576751709,1.4993313550949097,0.6750226181240923,0.6102009773254394
DIV,2,10007,-0.0028802139169539567,0.0031883978871780566,0.005366661800315023,-0.2599173401957125,0.2936831670665295,0.4583903994258837,2.3915685289882,1.0224381685256958,1.247323751449585,0.8197055233955602,0.800101704067654
DIV,3,10007,-0.0007259629888326686,0.0008045158082478304,0.001352378952247357,-0.0653381619160538,0.07391626212797756,0.11481711089770573,0.6459744332108371,1.0096818208694458,1.1234257221221924,0.8987526286670025,0.8929469164680033
DIV,4,10007,-0.0001827954893190388,0.0002029533999063032,0.000346126182591991,-0.01624364596669508,0.018462999187158196,0.028837951460614984,0.14959974276796192,1.0590260028839111,1.0023982524871826,1.0564922676752697,1.054911757960464
