1.0000000000 1.3750000000 1.3125000000 1.4062500000 1.3750000000 1.3710937500 0.7272727273 0.7500000000 0.7000000000 0.7272727273 0.7277882798
1.0019531250 1.3776855469 1.3154296875 1.4086914062 1.3776855469 1.3739013672 0.7286931818 0.7513020833 0.7015625000 0.7286931818 0.7291469754
1.0039062500 1.3803710938 1.3183593750 1.4111328125 1.3803710938 1.3767089844 0.7301136364 0.7526041667 0.7031250000 0.7301136364 0.7305056711
1.0058593750 1.3830566406 1.3212890625 1.4135742188 1.3830566406 1.3795166016 0.7315340909 0.7539062500 0.7046875000 0.7315340909 0.7318643667
1.0078125000 1.3857421875 1.3242187500 1.4160156250 1.3857421875 1.3823242188 0.7329545455 0.7552083333 0.7062500000 0.7329545455 0.7332230624
1.0097656250 1.3884277344 1.3271484375 1.4184570312 1.3884277344 1.3851318359 0.7343750000 0.7565104167 0.7078125000 0.7343750000 0.7345817580
1.0117187500 1.3911132812 1.3300781250 1.4208984375 1.3911132812 1.3879394531 0.7357954545 0.7578125000 0.7093750000 0.7357954545 0.7359404537
1.0136718750 1.3937988281 1.3330078125 1.4233398438 1.3937988281 1.3907470703 0.7372159091 0.7591145833 0.7109375000 0.7372159091 0.7372991493
1.0156250000 1.3964843750 1.3359375000 1.4257812500 1.3964843750 1.3935546875 0.7386363636 0.7604166667 0.7125000000 0.7386363636 0.7386578450
1.0175781250 1.3991699219 1.3388671875 1.4282226562 1.3991699219 1.3963623047 0.7400568182 0.7617187500 0.7140625000 0.7400568182 0.7400165406
1.0195312500 1.4018554688 1.3417968750 1.4306640625 1.4018554688 1.3991699219 0.7414772727 0.7630208333 0.7156250000 0.7414772727 0.7413752363
1.0214843750 1.4045410156 1.3447265625 1.4331054688 1.4045410156 1.4019775391 0.7428977273 0.7643229167 0.7171875000 0.7428977273 0.7427339319
1.0234375000 1.4072265625 1.3476562500 1.4355468750 1.4072265625 1.4047851562 0.7443181818 0.7656250000 0.7187500000 0.7443181818 0.7440926276
1.0253906250 1.4099121094 1.3505859375 1.4379882812 1.4099121094 1.4075927734 0.7457386364 0.7669270833 0.7203125000 0.7457386364 0.7454513233
1.0273437500 1.4125976562 1.3535156250 1.4404296875 1.4125976562 1.4104003906 0.7471590909 0.7682291667 0.7218750000 0.7471590909 0.7468100189
1.0292968750 1.4152832031 1.3564453125 1.4428710938 1.4152832031 1.4132080078 0.7485795455 0.7695312500 0.7234375000 0.7485795455 0.7481687146
1.0312500000 1.4179687500 1.3593750000 1.4453125000 1.4179687500 1.4160156250 0.7500000000 0.7708333333 0.7250000000 0.7500000000 0.7495274102
1.0332031250 1.4206542969 1.3623046875 1.4477539062 1.4206542969 1.4188232422 0.7514204545 0.7721354167 0.7265625000 0.7514204545 0.7508861059
1.0351562500 1.4233398438 1.3652343750 1.4501953125 1.4233398438 1.4216308594 0.7528409091 0.7734375000 0.7281250000 0.7528409091 0.7522448015
1.0371093750 1.4260253906 1.3681640625 1.4526367188 1.4260253906 1.4244384766 0.7542613636 0.7747395833 0.7296875000 0.7542613636 0.7536034972
1.0390625000 1.4287109375 1.3710937500 1.4550781250 1.4287109375 1.4272460938 0.7556818182 0.7760416667 0.7312500000 0.7556818182 0.7549621928
1.0410156250 1.4313964844 1.3740234375 1.4575195312 1.4313964844 1.4300537109 0.7571022727 0.7773437500 0.7328125000 0.7571022727 0.7563208885
1.0429687500 1.4340820312 1.3769531250 1.4599609375 1.4340820312 1.4328613281 0.7585227273 0.7786458333 0.7343750000 0.7585227273 0.7576795841
1.0449218750 1.4367675781 1.3798828125 1.4624023438 1.4367675781 1.4356689453 0.7599431818 0.7799479167 0.7359375000 0.7599431818 0.7590382798
1.0468750000 1.4394531250 1.3828125000 1.4648437500 1.4394531250 1.4384765625 0.7613636364 0.7812500000 0.7375000000 0.7613636364 0.7603969754
1.0488281250 1.4421386719 1.3857421875 1.4672851562 1.4421386719 1.4412841797 0.7627840909 0.7825520833 0.7390625000 0.7627840909 0.7617556711
1.0507812500 1.4448242188 1.3886718750 1.4697265625 1.4448242188 1.4440917969 0.7642045455 0.7838541667 0.7406250000 0.7642045455 0.7631143667
1.0527343750 1.4475097656 1.3916015625 1.4721679688 1.4475097656 1.4468994141 0.7656250000 0.7851562500 0.7421875000 0.7656250000 0.7644730624
1.0546875000 1.4501953125 1.3945312500 1.4746093750 1.4501953125 1.4497070312 0.7670454545 0.7864583333 0.7437500000 0.7670454545 0.7658317580
1.0566406250 1.4528808594 1.3974609375 1.4770507812 1.4528808594 1.4525146484 0.7684659091 0.7877604167 0.7453125000 0.7684659091 0.7671904537
1.0585937500 1.4555664062 1.4003906250 1.4794921875 1.4555664062 1.4553222656 0.7698863636 0.7890625000 0.7468750000 0.7698863636 0.7685491493
1.0605468750 1.4582519531 1.4033203125 1.4819335938 1.4582519531 1.4581298828 0.7713068182 0.7903645833 0.7484375000 0.7713068182 0.7699078450
1.0625000000 1.4609375000 1.4062500000 1.4843750000 1.4609375000 1.4609375000 0.7727272727 0.7916666667 0.7500000000 0.7727272727 0.7712665406
1.0644531250 1.4636230469 1.4091796875 1.4868164062 1.4636230469 1.4637451172 0.7741477273 0.7929687500 0.7515625000 0.7741477273 0.7726252363
1.0664062500 1.4663085938 1.4121093750 1.4892578125 1.4663085938 1.4665527344 0.7755681818 0.7942708333 0.7531250000 0.7755681818 0.7739839319
1.0683593750 1.4689941406 1.4150390625 1.4916992188 1.4689941406 1.4693603516 0.7769886364 0.7955729167 0.7546875000 0.7769886364 0.7753426276
1.0703125000 1.4716796875 1.4179687500 1.4941406250 1.4716796875 1.4721679688 0.7784090909 0.7968750000 0.7562500000 0.7784090909 0.7767013233
1.0722656250 1.4743652344 1.4208984375 1.4965820312 1.4743652344 1.4749755859 0.7798295455 0.7981770833 0.7578125000 0.7798295455 0.7780600189
1.0742187500 1.4770507812 1.4238281250 1.4990234375 1.4770507812 1.4777832031 0.7812500000 0.7994791667 0.7593750000 0.7812500000 0.7794187146
1.0761718750 1.4797363281 1.4267578125 1.5014648438 1.4797363281 1.4805908203 0.7826704545 0.8007812500 0.7609375000 0.7826704545 0.7807774102
1.0781250000 1.4824218750 1.4296875000 1.5039062500 1.4824218750 1.4833984375 0.7840909091 0.8020833333 0.7625000000 0.7840909091 0.7821361059
