0 0 3.1439545596 4.5845530376 25.0000000000 -0.1562868069
0 1 0.7685319516 1.0828671520 6.2500000000 0.0108565482
0 2 0.1899247350 0.2656577779 1.5625000000 -0.0005253153
0 3 0.0469573215 0.0654490331 0.3906250000 -0.0000792193
0 4 0.0118074530 0.0164150929 0.0976562500 -0.0000550967
1 0 4.4049060914 6.7766742346 33.3333214124 -3.8922541774
1 1 1.1771300355 1.8147284347 9.6028842676 -1.0449917459
1 2 0.2936831671 0.4583903994 2.3915685290 -0.2599173402
1 3 0.0739162621 0.1148171109 0.6459744332 -0.0653381619
1 4 0.0184629992 0.0288379515 0.1495997428 -0.0162436460
