group,design,scope,level,difference_drop,input_fraction_bits,input_half_step_bias,quotient_fraction_bits,residual_drop,wn_drop,cases,rmse,mred,max_relative,area_um2,delay_ns,power_mw,adp_um2_ns,dc_report,pt_dir
pace_difference_truncation,pace_z_l3_d0,figure8_count_range,3,0,23,,,,,100000,0.009186388234397729,0.005595961018913418,0.24037140393534576,2208.600012,2.82996,0.12439100000000002,6250.249689959519,experiments/pace_difference_truncation/dc/pace_z_l3_d0/pace_z_l3_d0.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l3_d0
pace_difference_truncation,pace_z_l3_d4,figure8_count_range,3,4,23,,,,,100000,0.009186308460849266,0.0055958832165019035,0.24037128556708623,2074.320012,2.89742,0.116259,6010.1762891690405,experiments/pace_difference_truncation/dc/pace_z_l3_d4/pace_z_l3_d4.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l3_d4
pace_difference_truncation,pace_z_l3_d8,figure8_count_range,3,8,23,,,,,100000,0.009184880718740854,0.005594574306934769,0.24036465694455172,1843.560011,2.97194,0.09824440000000001,5478.94973909134,experiments/pace_difference_truncation/dc/pace_z_l3_d8/pace_z_l3_d8.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l3_d8
pace_difference_truncation,pace_z_l3_d12,figure8_count_range,3,12,23,,,,,100000,0.009164195621035253,0.005579211447055761,0.24025694182836646,1479.960007,3.03179,0.0710085,4486.92794962253,experiments/pace_difference_truncation/dc/pace_z_l3_d12/pace_z_l3_d12.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l3_d12
pace_difference_truncation,pace_z_l3_d14,figure8_count_range,3,14,23,,,,,100000,0.009124260347322433,0.005579725497139312,0.24025694182836646,1326.960007,3.06961,0.0617246,4073.2497070872696,experiments/pace_difference_truncation/dc/pace_z_l3_d14/pace_z_l3_d14.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l3_d14
pace_difference_truncation,pace_z_l3_d15,figure8_count_range,3,15,23,,,,,100000,0.009129243226088215,0.005664149800425341,0.24025694182836646,1249.560007,3.07897,0.0570406,3847.35777475279,experiments/pace_difference_truncation/dc/pace_z_l3_d15/pace_z_l3_d15.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l3_d15
pace_difference_truncation,pace_z_l3_d16,figure8_count_range,3,16,23,,,,,100000,0.009350274824308743,0.006031241559758383,0.2394140222463604,1173.960007,3.10725,0.0518207,3647.78723175075,experiments/pace_difference_truncation/dc/pace_z_l3_d16/pace_z_l3_d16.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l3_d16
pace_difference_truncation,pace_z_l3_d17,figure8_count_range,3,17,23,,,,,100000,0.010514007708797412,0.00730073779738451,0.23744414887066018,1096.920007,3.08312,0.047174600000000004,3381.93601198184,experiments/pace_difference_truncation/dc/pace_z_l3_d17/pace_z_l3_d17.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l3_d17
pace_difference_truncation,pace_z_l3_d18,extra_stress,3,18,23,,,,,100000,0.014941455914938789,0.011208898598488882,0.23744414887066018,1020.960007,3.09744,0.042119800000000006,3162.36236408208,experiments/pace_difference_truncation/dc/pace_z_l3_d18/pace_z_l3_d18.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l3_d18
pace_difference_truncation,pace_z_l4_d0,figure8_count_range,4,0,23,,,,,100000,0.005937653268606442,0.003802856911126312,0.24037140393534576,3098.880012,3.00937,0.175699,9325.67654171244,experiments/pace_difference_truncation/dc/pace_z_l4_d0/pace_z_l4_d0.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l4_d0
pace_difference_truncation,pace_z_l4_d4,figure8_count_range,4,4,23,,,,,100000,0.005937474651151477,0.003802717128117559,0.24037128556708623,2962.080012,3.10833,0.165761,9207.12216369996,experiments/pace_difference_truncation/dc/pace_z_l4_d4/pace_z_l4_d4.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l4_d4
pace_difference_truncation,pace_z_l4_d8,figure8_count_range,4,8,23,,,,,100000,0.0059342060132980875,0.0038002512041774737,0.24036465694455172,2670.120013,3.25285,0.143685,8685.49988428705,experiments/pace_difference_truncation/dc/pace_z_l4_d8/pace_z_l4_d8.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l4_d8
pace_difference_truncation,pace_z_l4_d12,figure8_count_range,4,12,23,,,,,100000,0.005885794567467922,0.003768622836608441,0.24025694182836646,2200.680012,3.32925,0.10965599999999999,7326.613929951,experiments/pace_difference_truncation/dc/pace_z_l4_d12/pace_z_l4_d12.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l4_d12
pace_difference_truncation,pace_z_l4_d14,figure8_count_range,4,14,23,,,,,100000,0.005766619513658731,0.0037327884093438656,0.24025694182836646,1927.080011,3.31746,0.09093689999999999,6393.01085329206,experiments/pace_difference_truncation/dc/pace_z_l4_d14/pace_z_l4_d14.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l4_d14
pace_difference_truncation,pace_z_l4_d15,figure8_count_range,4,15,23,,,,,100000,0.005705538640932134,0.003797556092413528,0.24025694182836646,1813.320011,3.27278,0.08092139999999999,5934.59746560058,experiments/pace_difference_truncation/dc/pace_z_l4_d15/pace_z_l4_d15.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l4_d15
pace_difference_truncation,pace_z_l4_d16,figure8_count_range,4,16,23,,,,,100000,0.005912331691596479,0.004189525640938446,0.2394140222463604,1697.040011,3.30101,0.0770492,5601.94604671111,experiments/pace_difference_truncation/dc/pace_z_l4_d16/pace_z_l4_d16.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l4_d16
pace_difference_truncation,pace_z_l4_d17,extra_stress,4,17,23,,,,,100000,0.007408506722028967,0.005664516383180623,0.23744414887066018,1581.12001,3.31046,0.0702074,5234.2345483046,experiments/pace_difference_truncation/dc/pace_z_l4_d17/pace_z_l4_d17.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l4_d17
pace_difference_truncation,pace_z_l4_d18,extra_stress,4,18,23,,,,,100000,0.012710335011197938,0.010116855643657465,0.23744414887066018,1466.28001,3.3389,0.0626738,4895.762325389,experiments/pace_difference_truncation/dc/pace_z_l4_d18/pace_z_l4_d18.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l4_d18
direct_integer_div,input_div_b3_bias0,existing_comparison,,,3,0,5,,,100000,0.0439913805802101,0.03387015596082422,0.14064713598972114,383.400003,1.85773,0.014963299999999999,712.2536875731901,experiments/div_truncation_figure/dc/input_div_b3_bias0/input_div_b3_bias0.dc.rpt,experiments/div_truncation_figure/pt/input_div_b3_bias0
direct_integer_div,input_div_b5_bias0,existing_comparison,,,5,0,7,,,100000,0.011068004778542731,0.008730834827663575,0.038710640853494176,664.920005,3.50054,0.0311965,2327.5790743026996,experiments/div_truncation_figure/dc/input_div_b5_bias0/input_div_b5_bias0.dc.rpt,experiments/div_truncation_figure/pt/input_div_b5_bias0
direct_integer_div,input_div_b7_bias0,existing_comparison,,,7,0,9,,,100000,0.002767195953570932,0.0021989632288678504,0.010527897536757067,1044.360007,5.6534,0.0575864,5904.184863573801,experiments/div_truncation_figure/dc/input_div_b7_bias0/input_div_b7_bias0.dc.rpt,experiments/div_truncation_figure/pt/input_div_b7_bias0
direct_integer_div,input_div_b3_bias1,existing_comparison,,,3,1,5,,,100000,0.04278811294691637,0.03275183358294685,0.13103996848765112,419.040004,2.12277,0.0167326,889.5255492910801,experiments/input_trunc_bias/dc/input_div_b3_bias1/input_div_b3_bias1.dc.rpt,experiments/input_trunc_bias/pt/input_div_b3_bias1
direct_integer_div,input_div_b5_bias1,existing_comparison,,,5,1,7,,,100000,0.010768231542776792,0.008273872638952011,0.035247646077871085,714.600006,3.93083,0.0348688,2808.9711415849797,experiments/input_trunc_bias/dc/input_div_b5_bias1/input_div_b5_bias1.dc.rpt,experiments/input_trunc_bias/pt/input_div_b5_bias1
direct_integer_div,input_div_b7_bias1,existing_comparison,,,7,1,9,,,100000,0.0026900656604035666,0.0020705264478002383,0.009026158934946255,1108.440009,6.26881,0.0640272,6948.59981281929,experiments/input_trunc_bias/dc/input_div_b7_bias1/input_div_b7_bias1.dc.rpt,experiments/input_trunc_bias/pt/input_div_b7_bias1
oadm_fixed_div,oadm_div_l0,existing_comparison,0,,23,,,18,18,100000,0.05642904433174937,0.0426847334119081,0.311724751201149,516.960004,1.7578,0.024683,908.7122950312,experiments/fixed_div_level_specialization/dc/oadm_fixed_l0_div_specialized/oadm_fixed_l0_div_specialized.dc.rpt,experiments/fixed_div_level_specialization/pt/oadm_fixed_l0_div_specialized
oadm_fixed_div,oadm_div_l1,existing_comparison,1,,23,,,16,16,100000,0.01610807441407574,0.010744290622541598,0.08994003367908683,1130.400003,2.70339,0.0661543,3055.91206411017,experiments/fixed_div_level_specialization/dc/oadm_fixed_l1_div_specialized/oadm_fixed_l1_div_specialized.dc.rpt,experiments/fixed_div_level_specialization/pt/oadm_fixed_l1_div_specialized
oadm_fixed_div,oadm_div_l2,existing_comparison,2,,23,,,16,16,100000,0.0052869101122308,0.0036413991796571503,0.029231251009329478,1484.640007,2.73617,0.0750523,4062.2274479531898,experiments/fixed_div_level_specialization/dc/oadm_fixed_l2_div_specialized/oadm_fixed_l2_div_specialized.dc.rpt,experiments/fixed_div_level_specialization/pt/oadm_fixed_l2_div_specialized
oadm_fixed_div,oadm_div_l3,existing_comparison,3,,23,,,16,16,100000,0.003464444928480291,0.0027890733509097466,0.015964165580673716,1865.520005,3.08149,0.0834119,5748.581240207451,experiments/fixed_div_level_specialization/dc/oadm_fixed_l3_div_specialized/oadm_fixed_l3_div_specialized.dc.rpt,experiments/fixed_div_level_specialization/pt/oadm_fixed_l3_div_specialized
