dataset,design,level,drop,retained_difference_fraction_bits,cases,mae,mred,rmse,mean_error,max_relative,author_normalizer_out_of_range_cases,equation27_normalized_rmse,equation27_mred
uniform_100k,pace_z_l1_d0,1,0,23,100000,0.02831051445682432,0.026181617164544212,0.045222442778428,-0.008381513045365371,0.12454696633194891,0,0.045222427046790845,0.026181607774909885
uniform_100k,pace_z_l1_d4,1,4,19,100000,0.0283105225383977,0.02618153832317634,0.045222582301253714,-0.008382049653465309,0.12454588985849299,0,0.045222582301253714,0.02618153832317634
uniform_100k,pace_z_l1_d8,1,8,15,100000,0.028310836464133536,0.026180410233059302,0.04522504983876226,-0.00839100512259678,0.12453871336878691,0,0.04522504983876226,0.026180410233059302
uniform_100k,pace_z_l1_d12,1,12,11,100000,0.028317620183615163,0.02616429838887665,0.0452648903001347,-0.00853413729422764,0.12435499523231104,0,0.0452648903001347,0.02616429838887665
uniform_100k,pace_z_l1_d14,1,14,9,100000,0.02835610066622596,0.026130242808973712,0.045398818814305325,-0.008992035243446399,0.12435499523231104,0,0.045398818814305325,0.026130242808973712
uniform_100k,pace_z_l1_d15,1,15,8,100000,0.028432158663962957,0.02611113712773011,0.04558199520841899,-0.009601376063758892,0.1248533414365073,0,0.04558199520841899,0.02611113712773011
uniform_100k,pace_z_l1_d16,1,16,7,100000,0.028665667953475478,0.02615612159278729,0.045988713244470784,-0.010820760829383793,0.1261395286246948,0,0.045988713244470784,0.02615612159278729
uniform_100k,pace_z_l1_d17,1,17,6,100000,0.02938399629955076,0.026514091405259982,0.04691331612274661,-0.013266932704383798,0.12779336380570155,0,0.04691331612274661,0.026514091405259982
uniform_100k,pace_z_l1_d18,1,18,5,100000,0.03154714116238133,0.028007703509320487,0.04923218158502632,-0.018172245204383753,0.1336734085440901,0,0.04923218158502632,0.028007703509320487
uniform_100k,pace_z_l2_d0,2,0,23,100000,0.015214371355194711,0.014989982089724107,0.02234211700567362,-0.0005454967122622293,0.0925537267611602,0,0.022342101879467415,0.014989975533954775
uniform_100k,pace_z_l2_d4,2,4,19,100000,0.015214325192788038,0.01498984972897044,0.022342165428562308,-0.000546042369539336,0.09255289395411971,0,0.022342165428562308,0.01498984972897044
uniform_100k,pace_z_l2_d8,2,8,15,100000,0.015213754197680623,0.014987823113786755,0.02234315782550712,-0.0005554468416519903,0.09253623781331004,0,0.02234315782550712,0.014987823113786755
uniform_100k,pace_z_l2_d12,2,12,11,100000,0.015207524780607714,0.014958353022758166,0.022360012344385335,-0.0007057467912979868,0.09242963851212814,0,0.022360012344385335,0.014958353022758166
uniform_100k,pace_z_l2_d14,2,14,9,100000,0.01520990285825053,0.014886967994946288,0.022425084143702097,-0.001186656825477672,0.09218173442687275,0,0.022425084143702097,0.014886967994946288
uniform_100k,pace_z_l2_d15,2,15,8,100000,0.015252395184453281,0.014832818706127198,0.022530515556398012,-0.0018263467668839274,0.09218173442687275,0,0.022530515556398012,0.014832818706127198
uniform_100k,pace_z_l2_d16,2,16,7,100000,0.015459184626101442,0.014846306434811081,0.02282393755054408,-0.0031067618059464337,0.09157684410267293,0,0.02282393755054408,0.014846306434811081
uniform_100k,pace_z_l2_d17,2,17,6,100000,0.016184284806045647,0.015200845417770557,0.02367708078289187,-0.005673895595009006,0.09157684410267293,0,0.02367708078289187,0.015200845417770557
uniform_100k,pace_z_l2_d18,2,18,5,100000,0.018573350230799465,0.016947775102867102,0.026369608501765136,-0.010824530360633794,0.09157684410267293,0,0.026369608501765136,0.016947775102867102
uniform_100k,pace_z_l3_d0,3,0,23,100000,0.005894003944320034,0.005595961018913418,0.009186388234397729,0.001356316558783455,0.24037140393534576,5,0.009146939428101625,0.005584602318410589
uniform_100k,pace_z_l3_d4,3,4,19,100000,0.005893949194651327,0.0055958832165019035,0.009186308460849266,0.0013557588250092687,0.24037128556708623,5,0.009146853159391084,0.005584519714060471
uniform_100k,pace_z_l3_d8,3,8,15,100000,0.005893035291697854,0.005594574306934769,0.009184880718740854,0.0013459011799744837,0.24036465694455172,5,0.009145417040042108,0.005583209597489061
uniform_100k,pace_z_l3_d12,3,12,11,100000,0.0058840719937198905,0.005579211447055761,0.009164195621035253,0.0011879559159926638,0.24025694182836646,5,0.009124669815887262,0.005567864025594665
uniform_100k,pace_z_l3_d14,3,14,9,100000,0.005904133757733446,0.005579725497139312,0.009124260347322433,0.0006825821042708614,0.24025694182836646,5,0.009084610947556918,0.005568408802199945
