dataset,design,level,drop,retained_difference_fraction_bits,cases,mae,mred,rmse,mean_error,max_relative,author_normalizer_out_of_range_cases,equation27_normalized_rmse,equation27_mred,area_um2,delay_ns,slack_ns,power_mw,dc_report,pt_dir,scope,adp_um2_ns,gate_vectors,status
uniform_100k,pace_z_l2_d15,2,15,8,100000,0.015252395184453281,0.014832818706127198,0.022530515556398012,-0.0018263467668839274,0.09218173442687275,0,0.022530515556398012,0.014832818706127198,834.120009,2.69094,7.28906,0.0360557,experiments/pace_difference_truncation/dc/pace_z_l2_d15/pace_z_l2_d15.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l2_d15,figure8_count_range,2244.5668970184597,4869,pass
uniform_100k,pace_z_l2_d16,2,16,7,100000,0.015459184626101442,0.014846306434811081,0.02282393755054408,-0.0031067618059464337,0.09157684410267293,0,0.02282393755054408,0.014846306434811081,785.160008,2.71937,7.26063,0.033105499999999996,experiments/pace_difference_truncation/dc/pace_z_l2_d16/pace_z_l2_d16.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l2_d16,figure8_count_range,2135.14057095496,4869,pass
uniform_100k,pace_z_l2_d17,2,17,6,100000,0.016184284806045647,0.015200845417770557,0.02367708078289187,-0.005673895595009006,0.09157684410267293,0,0.02367708078289187,0.015200845417770557,735.120008,2.72879,7.25121,0.0300506,experiments/pace_difference_truncation/dc/pace_z_l2_d17/pace_z_l2_d17.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l2_d17,figure8_count_range,2005.98812663032,4869,pass
uniform_100k,pace_z_l2_d18,2,18,5,100000,0.018573350230799465,0.016947775102867102,0.026369608501765136,-0.010824530360633794,0.09157684410267293,0,0.026369608501765136,0.016947775102867102,686.160008,2.75722,7.22278,0.0269503,experiments/pace_difference_truncation/dc/pace_z_l2_d18/pace_z_l2_d18.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l2_d18,figure8_count_range,1891.8940972577598,4869,pass
uniform_100k,pace_z_l3_d0,3,0,23,100000,0.005894003944320034,0.005595961018913418,0.009186388234397729,0.001356316558783455,0.24037140393534576,5,0.009146939428101625,0.005584602318410589,2208.600012,2.82996,7.15004,0.12439100000000002,experiments/pace_difference_truncation/dc/pace_z_l3_d0/pace_z_l3_d0.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l3_d0,figure8_count_range,6250.249689959519,4869,pass
uniform_100k,pace_z_l3_d4,3,4,19,100000,0.005893949194651327,0.0055958832165019035,0.009186308460849266,0.0013557588250092687,0.24037128556708623,5,0.009146853159391084,0.005584519714060471,2074.320012,2.89742,7.08258,0.116259,experiments/pace_difference_truncation/dc/pace_z_l3_d4/pace_z_l3_d4.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l3_d4,figure8_count_range,6010.1762891690405,4869,pass
uniform_100k,pace_z_l3_d8,3,8,15,100000,0.005893035291697854,0.005594574306934769,0.009184880718740854,0.0013459011799744837,0.24036465694455172,5,0.009145417040042108,0.005583209597489061,1843.560011,2.97194,7.00806,0.09824440000000001,experiments/pace_difference_truncation/dc/pace_z_l3_d8/pace_z_l3_d8.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l3_d8,figure8_count_range,5478.94973909134,4869,pass
uniform_100k,pace_z_l3_d12,3,12,11,100000,0.0058840719937198905,0.005579211447055761,0.009164195621035253,0.0011879559159926638,0.24025694182836646,5,0.009124669815887262,0.005567864025594665,1479.960007,3.03179,6.94821,0.0710085,experiments/pace_difference_truncation/dc/pace_z_l3_d12/pace_z_l3_d12.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l3_d12,figure8_count_range,4486.92794962253,4869,pass
uniform_100k,pace_z_l3_d14,3,14,9,100000,0.005904133757733446,0.005579725497139312,0.009124260347322433,0.0006825821042708614,0.24025694182836646,5,0.009084610947556918,0.005568408802199945,1326.960007,3.06961,6.91039,0.0617246,experiments/pace_difference_truncation/dc/pace_z_l3_d14/pace_z_l3_d14.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l3_d14,figure8_count_range,4073.2497070872696,4869,pass
uniform_100k,pace_z_l3_d15,3,15,8,100000,0.006011900144527422,0.005664149800425341,0.009129243226088215,1.0504200523296254e-05,0.24025694182836646,5,0.009089736625041162,0.005652906860203556,1249.560007,3.07897,6.90103,0.0570406,experiments/pace_difference_truncation/dc/pace_z_l3_d15/pace_z_l3_d15.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l3_d15,figure8_count_range,3847.35777475279,4869,pass
