level,cases,xz_failures,mae,mred,rmse,cell_area_um2,leaf_cells,critical_delay_ns,constraint_ns,slack_ns,pt_total_power_mw,power_method,sequential_cells
L1,10000,0,0.028430772,0.026249720,0.045278918,956.88,327,2.42133,10.0,7.55867,0.120517,vectorless,0
L2,10000,0,0.015264065,0.015003911,0.022409632,1532.16,605,3.15801,10.0,6.82199,0.183356,vectorless,0
L3,10000,0,0.005963918,0.005667551,0.009362468,2175.12,782,3.53738,10.0,6.44262,0.269089,vectorless,0
L4,10000,0,0.003866091,0.003834884,0.006131750,3196.43,1181,3.65836,10.0,6.32164,0.373903,vectorless,0
