level,before,after,bit_identical,area_um2_change_pct,delay_ns_change_pct,power_mw_change_pct,adp_um2_ns_change_pct
0,abs_l0_no_w,abs_l0_exact,True,0.22662889411413367,-15.765102877996451,0.6982820811084256,-15.574202262190685
1,abs_l1_no_w,abs_l1_exact,True,0.9049775844191865,-15.827378692597694,-21.27685806969034,-15.065635337547667
2,abs_l2_no_w,abs_l2_exact,True,-6.813744857821957,-12.975029726516052,-34.006297801584786,-18.90468916354664
3,abs_l3_no_w,abs_l3_exact,True,-8.404443191804267,-15.090902642769866,-37.953398892788805,-22.227039494832056
