top,control,area_um2_change_pct,delay_ns_change_pct,power_mw_change_pct,adp_um2_ns_change_pct,mred_change_pct,rmse_change_pct,max_relative_change_pct,both_errors_no_worse,independent_both_errors_no_worse
abs_l0_no_w,abs_l0_control,22.91086313903694,5.535897144157476,17.37268565409391,29.715082101410207,1.2271764681879738,-0.7051663020710475,-4.40235904898536,False,False
abs_l0_exact,abs_l0_control,23.189414668915088,-11.101945613835474,18.192278086132173,9.512992850369884,1.2271764681879738,-0.7051663020710475,-4.40235904898536,False,False
abs_l0_inherited_s7,abs_l0_control,21.37882972470728,-15.560359540334511,16.96147145808855,2.4918474136924162,2.03022351801041,-0.9189531716553678,-2.089255141891355,False,False
abs_l1_no_w,abs_l1_control,26.687897841415698,-1.59059551156141,26.28204062320969,24.67280582465865,1.1928835711799257,-1.0278169800788994,-2.0493848692048844,False,False
abs_l1_exact,abs_l1_control,27.834394919052375,-17.166224629076822,-0.5868099276993388,5.890055534026706,1.1928835711799257,-1.0278169800788994,-2.0493848692048844,False,False
abs_l1_inherited_s6,abs_l1_control,-7.324839860249011,-30.235371145117806,-29.14655585502378,-35.345518487834994,1.660695707106119,-1.143506580465381,-0.4938276793264751,False,False
abs_l2_no_w,abs_l2_control,24.199806236260212,-0.10671851529693299,23.724123044863354,24.067262047043215,-4.6642354237505295,-5.62305069501906,-6.759046952146097,True,True
abs_l2_exact,abs_l2_control,15.737148325412198,-13.067901482729505,-18.349870690172054,0.6127318033268159,-4.6642354237505295,-5.62305069501906,-6.759046952146097,True,True
abs_l2_inherited_s5,abs_l2_control,-28.491755375416062,-29.832210717901297,-56.49207286119147,-49.82424559249428,-2.179189111634383,-3.949649499774066,6.942063277007726,True,True
abs_l3_no_w,abs_l3_control,19.85719831506174,0.6548779973324592,17.157144244406375,20.642116735046212,-11.44355318740069,-4.960399839294016,-26.823565666979643,True,True
abs_l3_exact,abs_l3_control,9.783868171384192,-14.53485164644377,-27.307974042073123,-6.173054199053906,-11.44355318740069,-4.960399839294016,-26.823565666979643,True,True
abs_l3_inherited_s4,abs_l3_control,-36.00926203951376,-33.34393426556635,-65.75944199808421,-57.34629164110909,-7.762798680672645,-1.4858967023728575,-14.85542120510287,True,True
