level,residual_drop,variant,cases,mae,mred,rmse,mean_error,mae_change_pct,mred_change_pct,rmse_change_pct,cost_proxy,within_10pct
0,0,current_oadm,250000,0.06249999282073975,0.03130236283506557,0.08333399241637027,-1.0980281864794961e-06,0.0,0.0,0.0,,yes
0,4,floor,250000,0.0625000053215027,0.03130240650095974,0.08333399993175236,-3.6608696018847697e-06,2.000122301115681e-05,0.0001394971184565108,9.018387192583077e-06,228,yes
0,4,midpoint_bias,250000,0.0625000053215027,0.03130240650095974,0.08333399993175236,-3.6608696018847697e-06,2.000122301115681e-05,0.0001394971184565108,9.018387192583077e-06,234,yes
0,4,round_nearest,250000,0.06250000286102296,0.03130236558875752,0.08333399994552095,-8.227348362597695e-07,1.6064454988473642e-05,8.797073758337604e-06,9.034909353999865e-06,266,yes
0,6,floor,250000,0.06250002261225737,0.031302532673041124,0.08333399992576958,-1.217527389875977e-05,4.7666433666826435e-05,0.0005425723816676609,9.011207913189878e-06,204,yes
0,6,midpoint_bias,250000,0.06250002336830754,0.03130237032985387,0.08333399903956064,-7.311821018847695e-07,4.887611406712011e-05,2.3943203064646923e-05,7.947765578997235e-06,210,yes
0,6,round_nearest,250000,0.06250001146697999,0.03130237047629225,0.08333400062343416,-8.227348362597695e-07,2.9833987813532303e-05,2.441102200378964e-05,9.84839878537258e-06,238,yes
0,8,floor,250000,0.06250010128161344,0.03130304696605514,0.08333401323848856,-4.6232891086259766e-05,0.00017353741783576737,0.002185557023826057,2.498634432690494e-05,180,yes
0,8,midpoint_bias,250000,0.06250009293213725,0.03130239223049441,0.08333400041496138,-4.565238987597695e-07,0.0001601782543936281,9.390801898323531e-05,9.5982334080702e-06,186,yes
0,8,round_nearest,250000,0.0625000476059001,0.03130238275457337,0.08333399992635111,-8.227348362597695e-07,8.765626662299297e-05,6.363579614365733e-05,9.011905732769776e-06,210,yes
0,10,floor,250000,0.06250064115785785,0.031305215280407556,0.08333423594360125,-0.00018246335983625978,0.0010373395081142434,0.009112555997803362,0.00029223036592807006,156,yes
0,10,midpoint_bias,250000,0.06250039122731291,0.0313024993503429,0.08333403619073315,6.421089137402305e-07,0.0006374505902684291,0.00043611812323707255,5.252882000483794e-05,162,yes
0,10,round_nearest,250000,0.06250022198579724,0.03130246158895953,0.0833340305624619,-8.227348362597695e-07,0.0003666641340993593,0.00031548383256918555,4.577494792101788e-05,182,yes
0,12,floor,250000,0.06250781833839386,0.031315932710784325,0.0833376795327246,-0.0007273852348362597,0.012520829684814494,0.04335096296166352,0.004424504631805881,132,yes
0,12,midpoint_bias,250000,0.06250231888965808,0.03130315829100453,0.08333450525434821,5.036640163740231e-06,0.0037217106968467917,0.002541200941119648,0.0006154007063274847,138,yes
0,12,round_nearest,250000,0.06250138494802177,0.03130304463111754,0.08333456474251513,-8.227348362597695e-07,0.002227403907073544,0.00217809772240507,0.0006867859420500722,154,yes
0,14,floor,250000,0.0626099865116138,0.03138890286418257,0.08339277135428312,-0.002907072734836259,0.1759899256141173,0.27646484571461905,0.07053416764093434,108,yes
0,14,midpoint_bias,250000,0.06252732442320645,0.031312199685724344,0.08334208872886327,2.261476516374023e-05,0.04373056896997962,0.03142526559609671,0.009715498151763313,114,yes
0,14,round_nearest,250000,0.06251374039995562,0.03130901756581422,0.08334279464366671,-8.227348362597695e-07,0.021996129272050524,0.021259515723182076,0.010562589216256413,126,yes
0,16,floor,250000,0.06386474869818705,0.03207947821069881,0.08427635318044874,-0.01162582273483626,2.183609654742913,2.4826093152389594,1.1308239732113812,84,yes
0,16,midpoint_bias,250000,0.0627379172487938,0.03140293969071795,0.08347066901978507,9.292726516374024e-05,0.3806791286143918,0.3213075517088715,0.1640106269382935,90,yes
0,16,round_nearest,250000,0.06273761784740622,0.03140653044695777,0.08347085083813693,-8.227348362597695e-07,0.38020008633923297,0.3327787504127544,0.16422880723494515,98,yes
0,18,floor,250000,0.07752022378029572,0.03879839500355908,0.09732705892452362,-0.04650082273483625,24.032372295844027,23.94717679298093,16.791547005498476,60,no
0,18,midpoint_bias,250000,0.06525232634841918,0.032515160163768986,0.08550070112289603,0.00037417726516374036,4.403734150135952,3.8744593661945936,2.6000298842038028,66,yes
0,18,round_nearest,250000,0.06525267600288426,0.032581113354570986,0.0855040936575696,-8.227348362597695e-07,4.404293597344333,4.085156530333656,2.6041008936144916,70,yes
0,20,floor,250000,0.19072175605601038,0.0921435636421336,0.21769714902354906,-0.18600082273483626,205.15484474219338,194.3661605599703,161.2345127254269,36,no
0,20,midpoint_bias,250000,0.09025159074289468,0.043593028913132104,0.11312820235210017,0.001499177265163742,44.402561775888636,39.26433970121344,35.752769154351796,42,no
0,20,round_nearest,250000,0.09031716872104165,0.04460434906886665,0.113170880631664,-8.227348362589737e-07,44.507486552976296,42.495150618150504,35.80398268478078,42,no
1,0,current_oadm,250000,0.01562499716472626,0.007610178925741327,0.02083399686274594,-1.1845693623217811e-06,0.0,0.0,0.0,,yes
1,4,floor,250000,0.015625010643005376,0.007610194863068733,0.02083399995914033,-3.6608696018847697e-06,8.626100198583231e-05,0.00020942119181022179,1.486221969937418e-05,216,yes
1,4,midpoint_bias,250000,0.015625010643005376,0.007610194863068733,0.02083399995914033,-3.6608696018847697e-06,8.626100198583231e-05,0.00020942119181022179,1.486221969937418e-05,222,yes
1,4,round_nearest,250000,0.015625005722045903,0.007610182013990264,0.020834000011866905,-8.227348362597695e-07,5.4766855650534296e-05,4.058050364630361e-05,1.5115299212276057e-05,252,yes
1,6,floor,250000,0.015625045810709844,0.0076102424152443065,0.02083399998805333,-1.217527389875977e-05,0.0003113343514327127,0.0008342708311959157,1.5000997688474627e-05,192,yes
1,6,midpoint_bias,250000,0.015625047064576847,0.007610198585577353,0.02083399640169984,-7.311821018847695e-07,0.0003193591016970032,0.0002583360551478009,-2.2129508003843057e-06,198,yes
1,6,round_nearest,250000,0.015625022935335575,0.007610190217875346,0.020834002737129216,-8.227348362597695e-07,0.00016493192953603852,0.00014838197799349473,2.819614168814155e-05,224,yes
1,8,floor,250000,0.015625225026527197,0.007610451397174195,0.020834054095917084,-4.6232891086259766e-05,0.0014583157906145061,0.0035803551470703354,0.0002747104721256832,168,yes
1,8,midpoint_bias,250000,0.015625188645603274,0.007610257225444123,0.02083400212122435,-4.565238987597695e-07,0.001225477835253841,0.0010288812334113828,2.5239892487149973e-05,174,yes
1,8,round_nearest,250000,0.01562509917975226,0.007610224054728554,0.020834000166830322,-8.227348362597695e-07,0.000652896284880633,0.0005930082284111293,1.585909992218859e-05,196,yes
1,10,floor,250000,0.015626864984731762,0.007611697821517225,0.0208349586607274,-0.00018246335983625978,0.011954050204354694,0.019958739350522947,0.004616483278718775,144,yes
