reference,candidate,kind,mismatches,area_um2_change_pct,delay_ns_change_pct,power_mw_change_pct,adp_um2_ns_change_pct
stdm_tune_00,stdm_tune_00_narrow,exact_width_reduction,0,-0.6372807833995298,0.5660305777912766,-4.8692405794237175,-0.07485740970867294
stdm_tune_02,stdm_tune_02_narrow,exact_width_reduction,0,-0.2844949539829611,-5.186260832955725,-4.726472629003398,-5.456001136568522
stdm_tune_04,stdm_tune_04_narrow,exact_width_reduction,0,-0.9098979099661619,1.868471541249206,-5.759267636484832,0.9415724477808807
stdm_tune_05,stdm_tune_05_narrow,exact_width_reduction,0,-6.6561012392495345,-9.376914815815308,-11.47800868532961,-15.408879111805973
stdm_tune_06,stdm_tune_06_narrow,exact_width_reduction,0,4.108635065702293,3.1448401410854476,6.108286772349247,7.382685211584672
stdm_tune_10,stdm_tune_10_narrow,exact_width_reduction,0,16.65605099967433,0.39616925415866255,1.1521050864985893,17.11820640685069
stdm_tune_13,stdm_tune_13_narrow,exact_width_reduction,0,-6.432084577626207,-9.010822099867088,-10.412799745017542,-14.863322978890414
stdm_tune_00,stdm_tune_00_binary,exact_coefficient_multiply,0,15.93202327295673,11.389278804203506,43.67000268652015,29.13584462686787
stdm_tune_00,stdm_tune_00_csd,exact_coefficient_multiply,0,24.561869212474964,8.542433324481191,53.26844512242195,35.20248383767812
stdm_tune_05,stdm_tune_05_binary,exact_coefficient_multiply,0,59.092709734022144,3.5944181265936237,165.3520964502347,64.81116693079083
stdm_tune_05,stdm_tune_05_csd,exact_coefficient_multiply,0,51.38668762748717,5.2544193125440675,133.09516296262908,59.34117897880662
stdm_input_mask6,stdm_input_mask6_narrow,input_mask_compact_width,0,-10.210763044093984,-10.524359353926116,-16.675953592466954,-19.660505002481756
stdm_input_mask6,stdm_input_effective17,input_mask_effective_residual_drop,0,-9.78105167980451,-15.373203065890328,-15.570569054739526,-23.650593808978815
stdm_tune_00,stdm_tune_00_midpoint,exact_midpoint_implementation,0,-8.337758846180687,2.978489320535682,-9.911869787147321,-5.607608782450512
stdm_tune_04,stdm_tune_04_midpoint,exact_midpoint_implementation,0,-8.877052780157712,-1.5739359056348934,-10.274517273398242,-10.311269564723545
stdm_tune_05,stdm_tune_05_midpoint,exact_midpoint_implementation,0,3.684627783221206,-7.936973322703711,-21.34492379049022,-4.544793463677688
