candidate,reference,mred_change_pct,rmse_change_pct,area_change_pct,delay_change_pct,power_change_pct,adp_change_pct,both_errors_no_worse,strict_adp_win
stdm_tune_00,fpd2d_2x4_t19,-76.28759792880186,-74.00863540288611,185.7359628584053,82.81501414858792,327.8632535094963,422.36824092719746,True,False
stdm_tune_01,fpd2d_2x4_t19,-73.16110426948723,-72.69459927132796,232.62518772023952,101.58478055817568,392.3824938067713,570.5217547470647,True,False
stdm_tune_02,fpd2d_2x4_t19,-82.4776734900437,-80.17063820451045,220.03034800176744,94.38980746823502,406.5063583815029,522.1063773205582,True,False
stdm_tune_03,fpd2d_2x4_t19,-79.80786333917307,-81.48012287316628,275.1138069034412,105.07337846085557,416.1770437654831,669.2585568900168,True,False
stdm_tune_04,fpd2d_2x4_t19,-84.1378536230689,-81.65835787675441,241.88163743987826,95.2088997392221,454.92650701899254,567.3833828568229,True,False
stdm_tune_05,fpd2d_2x4_t19,-83.58161944018441,-83.95655285182345,283.00455038775453,110.53237529823004,427.55606936416183,706.3485774316459,True,False
stdm_tune_06,fpd2d_2x4_t19,123.04455229883446,126.25261385808648,8.952958953355594,21.913665871386566,62.69000825763833,32.8285463353829,False,False
stdm_tune_07,fpd2d_2x4_t19,94.55209350344214,92.96483429585918,35.43247293515029,44.46817954835489,70.31478117258463,95.65682816673007,False,False
stdm_tune_08,fpd2d_2x4_t19,102.3611827652127,93.82538482824,49.46889205472187,42.57892692670475,80.98761354252682,113.1111423808571,False,False
stdm_tune_09,fpd2d_2x4_t19,99.54096326338846,100.00648545069377,55.386950089470986,46.638323253620385,90.8148637489678,127.85681816614019,False,False
stdm_tune_10,fpd2d_2x4_t19,-43.659599559637606,-35.21964769548238,138.23975583173365,87.49583865061312,336.92683732452514,346.68962819588194,True,False
stdm_tune_11,fpd2d_2x4_t19,-49.47115682064227,-49.16234571745798,154.24886208692578,81.59365810353437,256.55557390586296,361.69980935025865,True,False
stdm_tune_12,fpd2d_2x4_t19,-49.31348030699515,-51.01497118047615,205.3110771344539,82.1013427287355,296.676465730801,455.9755709614059,True,False
