top,level,dx,dy,w,b,input_bits,style,narrow,coefficients,area_um2,delay_ns,slack_ns,power_mw,dc_report,pt_dir,adp_um2_ns,mae,mred,rmse,max_relative,p99_relative,rtl_cases,gate_cases,status
stdm_tune_02_narrow,2,15,16,16,8,23,direct,True,203 136 97 73,1514.160009,2.65743,7.32257,0.0730485,experiments/stdm_fpd2d_tuning/dc/stdm_tune_02_narrow/stdm_tune_02_narrow.dc.rpt,experiments/stdm_fpd2d_tuning/pt/stdm_tune_02_narrow,4023.7742327168703,0.0035777509999450306,0.0033505856601561065,0.0049482711604797065,0.02911428868703509,0.013344985766293043,343790,21043,verified
stdm_tune_04_narrow,2,15,15,15,8,23,direct,True,203 136 97 73,1607.400007,2.86719,7.11281,0.0791641,experiments/stdm_fpd2d_tuning/dc/stdm_tune_04_narrow/stdm_tune_04_narrow.dc.rpt,experiments/stdm_fpd2d_tuning/pt/stdm_tune_04_narrow,4608.72122607033,0.003232568502677899,0.0030331292000319553,0.004577021675752589,0.02678587795561353,0.013289712489968152,343790,21043,verified
stdm_tune_05_narrow,3,15,16,17,8,23,direct,True,228 182 149 124 105 90 78 68,1696.320009,2.7509,7.2291,0.0706926,experiments/stdm_fpd2d_tuning/dc/stdm_tune_05_narrow/stdm_tune_05_narrow.dc.rpt,experiments/stdm_fpd2d_tuning/pt/stdm_tune_05_narrow,4666.4067127581,0.003143305955365865,0.0031394912333956443,0.004003524049677696,0.0162204313196531,0.009941943107159254,343790,21043,verified
stdm_tune_06_narrow,0,18,18,18,7,23,direct,True,59,538.200004,1.81308,8.16692,0.0261315,experiments/stdm_fpd2d_tuning/dc/stdm_tune_06_narrow/stdm_tune_06_narrow.dc.rpt,experiments/stdm_fpd2d_tuning/pt/stdm_tune_06_narrow,975.7996632523201,0.04225530269301196,0.04265015139877548,0.056459673068841754,0.31238485450405257,0.2090140699571533,343790,21043,verified
stdm_tune_10_narrow,1,16,16,16,7,23,direct,True,83 42,1318.680004,2.7141,7.2659,0.0669018,experiments/stdm_fpd2d_tuning/dc/stdm_tune_10_narrow/stdm_tune_10_narrow.dc.rpt,experiments/stdm_fpd2d_tuning/pt/stdm_tune_10_narrow,3579.0293988564003,0.011393409298951903,0.010773303287989111,0.016165459704662467,0.0915832873823356,0.04915239002495803,343790,21043,verified
stdm_tune_13_narrow,3,15,16,16,8,23,direct,True,227 182 149 124 105 90 78 68,1780.560008,2.87544,7.10456,0.076453,experiments/stdm_fpd2d_tuning/dc/stdm_tune_13_narrow/stdm_tune_13_narrow.dc.rpt,experiments/stdm_fpd2d_tuning/pt/stdm_tune_13_narrow,5119.893469403521,0.002352667494793465,0.002284222331948105,0.003044234072627718,0.01248952383459618,0.007173791507206458,343790,21043,verified
stdm_tune_00_binary,2,16,17,17,8,23,binary,False,203 136 97 73,1571.760008,2.93611,7.04389,0.09305189999999999,experiments/stdm_fpd2d_tuning/dc/stdm_tune_00_binary/stdm_tune_00_binary.dc.rpt,experiments/stdm_fpd2d_tuning/pt/stdm_tune_00_binary,4614.86027708888,0.004796667012809207,0.004534240033848713,0.006485953566426254,0.035739547376864904,0.016232399132885572,343790,21043,verified
stdm_tune_00_csd,2,16,17,17,8,23,csd,False,203 136 97 73,1688.760008,2.86107,7.11893,0.0992686,experiments/stdm_fpd2d_tuning/dc/stdm_tune_00_csd/stdm_tune_00_csd.dc.rpt,experiments/stdm_fpd2d_tuning/pt/stdm_tune_00_csd,4831.66059608856,0.004796667012809207,0.004534240033848713,0.006485953566426254,0.035739547376864904,0.016232399132885572,343790,21043,verified
stdm_tune_05_binary,3,15,16,17,8,23,binary,False,228 182 149 124 105 90 78 68,2891.160005,3.14465,6.83535,0.211907,experiments/stdm_fpd2d_tuning/dc/stdm_tune_05_binary/stdm_tune_05_binary.dc.rpt,experiments/stdm_fpd2d_tuning/pt/stdm_tune_05_binary,9091.68630972325,0.003143305955365865,0.0031394912333956443,0.004003524049677696,0.0162204313196531,0.009941943107159254,343790,21043,verified
stdm_tune_05_csd,3,15,16,17,8,23,csd,False,228 182 149 124 105 90 78 68,2751.120006,3.19504,6.78496,0.186147,experiments/stdm_fpd2d_tuning/dc/stdm_tune_05_csd/stdm_tune_05_csd.dc.rpt,experiments/stdm_fpd2d_tuning/pt/stdm_tune_05_csd,8789.93846397024,0.003143305955365865,0.0031394912333956443,0.004003524049677696,0.0162204313196531,0.009941943107159254,343790,21043,verified
stdm_input_mask6,3,15,16,17,8,6,direct,False,228 182 149 124 105 90 78 68,1759.320006,3.0399,6.9401,0.0762721,experiments/stdm_fpd2d_tuning/dc/stdm_input_mask6/stdm_input_mask6.dc.rpt,experiments/stdm_fpd2d_tuning/pt/stdm_input_mask6,5348.1568862394,0.005087274960441342,0.005124699580158523,0.006384121453862561,0.025353320779364922,0.016619131936168673,343790,21043,verified
stdm_input_mask6_narrow,3,15,16,17,8,6,direct,True,228 182 149 124 105 90 78 68,1579.680009,2.71997,7.26003,0.06355300000000001,experiments/stdm_fpd2d_tuning/dc/stdm_input_mask6_narrow/stdm_input_mask6_narrow.dc.rpt,experiments/stdm_fpd2d_tuning/pt/stdm_input_mask6_narrow,4296.68223407973,0.005087274960441342,0.005124699580158523,0.006384121453862561,0.025353320779364922,0.016619131936168673,343790,21043,verified
stdm_input_effective17,3,17,17,17,8,23,direct,False,228 182 149 124 105 90 78 68,1587.240007,2.57257,7.40743,0.06439610000000001,experiments/stdm_fpd2d_tuning/dc/stdm_input_effective17/stdm_input_effective17.dc.rpt,experiments/stdm_fpd2d_tuning/pt/stdm_input_effective17,4083.28602480799,0.005087274960441342,0.005124699580158523,0.006384121453862561,0.025353320779364922,0.016619131936168673,343790,21043,verified
stdm_tune_00_midpoint,2,16,17,17,8,23,direct,False,203 136 97 73,1242.720008,2.71441,7.26559,0.0583481,experiments/stdm_fpd2d_tuning/dc/stdm_tune_00_midpoint/stdm_tune_00_midpoint.dc.rpt,experiments/stdm_fpd2d_tuning/pt/stdm_tune_00_midpoint,3373.25161691528,0.004796667012809207,0.004534240033848713,0.006485953566426254,0.035739547376864904,0.016232399132885572,343790,21043,verified
stdm_tune_04_midpoint,2,15,15,15,8,23,direct,False,203 136 97 73,1478.160007,2.7703,7.2097,0.0753712,experiments/stdm_fpd2d_tuning/dc/stdm_tune_04_midpoint/stdm_tune_04_midpoint.dc.rpt,experiments/stdm_fpd2d_tuning/pt/stdm_tune_04_midpoint,4094.9466673921,0.003232568502677899,0.0030331292000319553,0.004577021675752589,0.02678587795561353,0.013289712489968152,343790,21043,verified
stdm_tune_05_midpoint,3,15,16,17,8,23,direct,False,228 182 149 124 105 90 78 68,1884.24001,2.79461,7.18539,0.062813,experiments/stdm_fpd2d_tuning/dc/stdm_tune_05_midpoint/stdm_tune_05_midpoint.dc.rpt,experiments/stdm_fpd2d_tuning/pt/stdm_tune_05_midpoint,5265.7159743461,0.003143305955365865,0.0031394912333956443,0.004003524049677696,0.0162204313196531,0.009941943107159254,343790,21043,verified
