level,dx,dy,w,b,input_bits,objective,coefficients,mae,mred,rmse,max_relative,p99_relative,cost_proxy
0,14,14,18,10,23,mse,477,0.04319876973261001,0.04415836025944687,0.055139923305088816,0.28733463749301597,0.2128043050155978,178
0,14,14,18,10,23,mred,467,0.04037400206814884,0.04081514437034382,0.059431045895758774,0.30227521113047895,0.22930735941778654,178
0,14,14,18,11,23,mse,954,0.04319876973261001,0.04415836025944687,0.055139923305088816,0.28733463749301597,0.2128043050155978,185
0,14,14,18,11,23,mred,934,0.04037400206814884,0.04081514437034382,0.059431045895758774,0.30227521113047895,0.22930735941778654,185
0,14,14,20,5,23,mse,15,0.04326564185285422,0.045160783513744376,0.05963680616905754,0.34820791095640435,0.25098020581268704,133
0,14,14,20,6,23,mse,30,0.04326564185285422,0.045160783513744376,0.05963680616905754,0.34820791095640435,0.25098020581268704,138
0,14,14,20,7,23,mse,61,0.046104217732417595,0.048072856748826304,0.05822693087415369,0.3373447094723444,0.23849654257623187,143
0,14,14,20,7,23,mred,60,0.04326564185285422,0.045160783513744376,0.05963680616905754,0.34820791095640435,0.25098020581268704,143
0,14,14,20,8,23,mse,122,0.046104217732417595,0.048072856748826304,0.05822693087415369,0.3373447094723444,0.23849654257623187,148
0,14,14,20,8,23,mred,120,0.04326564185285422,0.045160783513744376,0.05963680616905754,0.34820791095640435,0.25098020581268704,148
0,14,14,20,9,23,mse,243,0.04503642222894487,0.04700411255474106,0.05807797087792206,0.3400605098433594,0.24161745838534568,153
0,14,14,20,9,23,mred,239,0.04325442873240047,0.04509193369060573,0.06079642582919739,0.35092371132741934,0.2541011216218009,153
0,14,14,20,10,23,mse,486,0.04503642222894487,0.04700411255474106,0.05807797087792206,0.3400605098433594,0.24161745838534568,158
0,14,14,20,10,23,mred,478,0.04325442873240047,0.04509193369060573,0.06079642582919739,0.35092371132741934,0.2541011216218009,158
0,14,14,20,11,23,mse,972,0.04503642222894487,0.04700411255474106,0.05807797087792206,0.3400605098433594,0.24161745838534568,163
0,14,14,20,11,23,mred,957,0.04322961846938504,0.04508287532195057,0.060478194031486396,0.3502447612346656,0.2533208926695224,163
0,14,14,22,5,23,mse,16,0.08090740323928866,0.08804304271441547,0.10080438095539089,0.5666495566209466,0.5289532469156134,123
0,14,14,22,6,23,mse,33,0.07855326765564552,0.08526675414067349,0.09662103870946744,0.5531073552653512,0.5142330358817264,126
0,14,14,22,7,23,mse,66,0.07855326765564552,0.08526675414067349,0.09662103870946744,0.5531073552653512,0.5142330358817264,129
0,14,14,22,8,23,mse,132,0.07855326765564552,0.08526675414067349,0.09662103870946744,0.5531073552653512,0.5142330358817264,132
0,14,14,22,9,23,mse,263,0.07841115931139998,0.08521599946268202,0.096551710795771,0.5548001304348006,0.5160730622609623,135
