0 0 3.1439545596 4.5845530376 25.0000000000 -0.1562868069
0 1 0.7685319516 1.0828671520 6.2500000000 0.0108565482
0 2 0.1899247350 0.2656577779 1.5625000000 -0.0005253153
0 3 0.0469573215 0.0654490331 0.3906250000 -0.0000792193
0 4 0.0118074530 0.0164150929 0.0976562500 -0.0000550967
1 0 4.3272682388 6.6796438857 33.2031130558 -3.7045437363
1 1 1.1825479033 1.8018952870 9.5146058343 -1.0509498845
1 2 0.2831518358 0.4175455164 2.2813539305 -0.1377187366
1 3 0.1291475493 0.1661160816 0.5981437273 -0.0451520386
1 4 0.1240796331 0.1472758019 0.2931921936 -0.0055024424
