1.0000000000 1.3750000000 1.3125000000 1.4062500000 1.3750000000 1.3710937500 1.3740234375 0.7272727273 0.7514648438 0.7006835938 0.7277832031 0.7284545898 0.7276668549
1.0019531250 1.3776855469 1.3154296875 1.4086914062 1.3776855469 1.3739013672 1.3767700195 0.7286931818 0.7527694702 0.7022476196 0.7292046547 0.7298145294 0.7290562391
1.0039062500 1.3803710938 1.3183593750 1.4111328125 1.3803710938 1.3767089844 1.3795166016 0.7301136364 0.7540740967 0.7038116455 0.7306261063 0.7311744690 0.7304456234
1.0058593750 1.3830566406 1.3212890625 1.4135742188 1.3830566406 1.3795166016 1.3822631836 0.7315340909 0.7553787231 0.7053756714 0.7320475578 0.7325344086 0.7318350077
1.0078125000 1.3857421875 1.3242187500 1.4160156250 1.3857421875 1.3823242188 1.3850097656 0.7329545455 0.7566833496 0.7069396973 0.7334690094 0.7338943481 0.7332243919
1.0097656250 1.3884277344 1.3271484375 1.4184570312 1.3884277344 1.3851318359 1.3877563477 0.7343750000 0.7579879761 0.7085037231 0.7348904610 0.7352542877 0.7346137762
1.0117187500 1.3911132812 1.3300781250 1.4208984375 1.3911132812 1.3879394531 1.3905029297 0.7357954545 0.7592926025 0.7100677490 0.7363119125 0.7366142273 0.7360031605
1.0136718750 1.3937988281 1.3330078125 1.4233398438 1.3937988281 1.3907470703 1.3932495117 0.7372159091 0.7605972290 0.7116317749 0.7377333641 0.7379741669 0.7373925447
1.0156250000 1.3964843750 1.3359375000 1.4257812500 1.3964843750 1.3935546875 1.3959960938 0.7386363636 0.7619018555 0.7131958008 0.7391548157 0.7393341064 0.7387819290
1.0175781250 1.3991699219 1.3388671875 1.4282226562 1.3991699219 1.3963623047 1.3987426758 0.7400568182 0.7632064819 0.7147598267 0.7405762672 0.7406940460 0.7401713133
1.0195312500 1.4018554688 1.3417968750 1.4306640625 1.4018554688 1.3991699219 1.4014892578 0.7414772727 0.7645111084 0.7163238525 0.7419977188 0.7420539856 0.7415606976
1.0214843750 1.4045410156 1.3447265625 1.4331054688 1.4045410156 1.4019775391 1.4042358398 0.7428977273 0.7658157349 0.7178878784 0.7434191704 0.7434139252 0.7429500818
1.0234375000 1.4072265625 1.3476562500 1.4355468750 1.4072265625 1.4047851562 1.4069824219 0.7443181818 0.7671203613 0.7194519043 0.7448406219 0.7447738647 0.7443394661
1.0253906250 1.4099121094 1.3505859375 1.4379882812 1.4099121094 1.4075927734 1.4097290039 0.7457386364 0.7684249878 0.7210159302 0.7462620735 0.7461338043 0.7457288504
1.0273437500 1.4125976562 1.3535156250 1.4404296875 1.4125976562 1.4104003906 1.4124755859 0.7471590909 0.7697296143 0.7225799561 0.7476835251 0.7474937439 0.7471182346
1.0292968750 1.4152832031 1.3564453125 1.4428710938 1.4152832031 1.4132080078 1.4152221680 0.7485795455 0.7710342407 0.7241439819 0.7491049767 0.7488536835 0.7485076189
1.0312500000 1.4179687500 1.3593750000 1.4453125000 1.4179687500 1.4160156250 1.4179687500 0.7500000000 0.7723388672 0.7257080078 0.7505264282 0.7502136230 0.7498970032
1.0332031250 1.4206542969 1.3623046875 1.4477539062 1.4206542969 1.4188232422 1.4207153320 0.7514204545 0.7736434937 0.7272720337 0.7519478798 0.7515735626 0.7512863874
1.0351562500 1.4233398438 1.3652343750 1.4501953125 1.4233398438 1.4216308594 1.4234619141 0.7528409091 0.7749481201 0.7288360596 0.7533693314 0.7529335022 0.7526757717
1.0371093750 1.4260253906 1.3681640625 1.4526367188 1.4260253906 1.4244384766 1.4262084961 0.7542613636 0.7762527466 0.7304000854 0.7547907829 0.7542934418 0.7540651560
1.0390625000 1.4287109375 1.3710937500 1.4550781250 1.4287109375 1.4272460938 1.4289550781 0.7556818182 0.7775573730 0.7319641113 0.7562122345 0.7556533813 0.7554545403
1.0410156250 1.4313964844 1.3740234375 1.4575195312 1.4313964844 1.4300537109 1.4317016602 0.7571022727 0.7788619995 0.7335281372 0.7576336861 0.7570133209 0.7568439245
1.0429687500 1.4340820312 1.3769531250 1.4599609375 1.4340820312 1.4328613281 1.4344482422 0.7585227273 0.7801666260 0.7350921631 0.7590551376 0.7583732605 0.7582333088
1.0449218750 1.4367675781 1.3798828125 1.4624023438 1.4367675781 1.4356689453 1.4371948242 0.7599431818 0.7814712524 0.7366561890 0.7604765892 0.7597332001 0.7596226931
1.0468750000 1.4394531250 1.3828125000 1.4648437500 1.4394531250 1.4384765625 1.4399414062 0.7613636364 0.7827758789 0.7382202148 0.7618980408 0.7610931396 0.7610120773
1.0488281250 1.4421386719 1.3857421875 1.4672851562 1.4421386719 1.4412841797 1.4426879883 0.7627840909 0.7840805054 0.7397842407 0.7633194923 0.7624530792 0.7624014616
1.0507812500 1.4448242188 1.3886718750 1.4697265625 1.4448242188 1.4440917969 1.4454345703 0.7642045455 0.7853851318 0.7413482666 0.7647409439 0.7638130188 0.7637908459
1.0527343750 1.4475097656 1.3916015625 1.4721679688 1.4475097656 1.4468994141 1.4481811523 0.7656250000 0.7866897583 0.7429122925 0.7661623955 0.7651729584 0.7651802301
1.0546875000 1.4501953125 1.3945312500 1.4746093750 1.4501953125 1.4497070312 1.4509277344 0.7670454545 0.7879943848 0.7444763184 0.7675838470 0.7665328979 0.7665696144
