design,top,level,residual_drop,wn_drop,cases,mae,mred,rmse,area_um2,delay_ns,setup_slack_ns,power_mw,area_change_vs_current_pct,delay_change_vs_current_pct,power_change_vs_current_pct,gate_vectors,status,selection
current_L0_r18_w18,oadm_fixed_l0_div_root_opt,0,18,18,10000,0.041770060556892884,0.04198812700286405,0.0560411545465734,764.280005,2.00953,7.97047,0.0344208,,,,20002,pass,current
candidate_L0_r19_w18,oadm_fixed_l0_div_r19_w18,0,19,18,10000,0.04379426290156648,0.04383403674213617,0.05792364635216035,819.720007,2.26873,7.71127,0.0343046,7.253886224591222,12.898538464218024,-0.3375865755589791,20002,pass,negative_result
current_L1_r16_w16,oadm_fixed_l1_div_root_opt,1,16,16,10000,0.011360603575438218,0.010698462785717788,0.016122211392234336,1215.720003,2.60013,7.37987,0.0679965,,,,20002,pass,current
candidate_L1_r16_w17,oadm_fixed_l1_div_r16_w17,1,16,17,10000,0.01137460627029663,0.010782653548165086,0.01660072674566406,1224.000004,2.5437,7.4363,0.0613715,0.6810779603500627,-2.170276101579549,-9.743148544410374,20002,pass,negative_result
