level,residual_drop,wn_drop,coefficient_bits,coefficients,cases,mae,mred,rmse,mae_change_vs_current_pct,mred_change_vs_current_pct,rmse_change_vs_current_pct,active_residual_bits,active_wn_bits,cost_proxy,within_2pct,within_5pct,is_current
0,18,18,7,59,250000,0.04234404918495703,0.04268503760354199,0.0566326425161487,0.0,0.0,0.0,5,7,109,yes,yes,yes
0,18,19,7,60,250000,0.045251278468683216,0.04612335505635974,0.056677297915649114,6.865732823584092,8.055088260089626,0.07885099037658883,5,6,102,no,no,no
0,18,20,7,61,250000,0.04762318602178277,0.04921319999695308,0.05911011466194361,12.46724613833383,15.293795577842918,4.374636315246039,5,5,95,no,no,no
0,18,21,7,62,250000,0.05234092714896859,0.05550529384298656,0.06740009568318658,23.608696278302578,30.034543622800403,19.012803727051164,5,4,88,no,no,no
0,18,22,7,65,250000,0.07774354509057146,0.08443319052880048,0.09616818819249658,83.59969484966099,97.80512158151231,69.8105260849772,5,3,81,no,no,no
0,19,18,7,59,250000,0.04439755841563671,0.044605956317827614,0.05843463883264648,4.849581630018518,4.500215584034595,3.181903998182567,4,7,97,no,yes,no
0,19,19,7,60,250000,0.04752751219526381,0.04825237587907835,0.059145301719841156,12.241302166605838,13.04283324579849,4.436768429048632,4,6,90,no,no,no
0,19,20,7,60,250000,0.04609294132146143,0.0473559874996804,0.06108778617493918,8.853409649439525,10.942827178746173,7.866741619058493,4,5,83,no,no,no
0,19,21,7,62,250000,0.05434987494452648,0.057245212845177085,0.06949777751502398,28.353041314326145,34.11072370808195,22.716819182871095,4,4,76,no,no,no
0,19,22,7,65,250000,0.07802171125077413,0.08332788241148112,0.09630602971285282,84.25661398129067,95.21567061842437,70.05392196804401,4,3,69,no,no,no
0,20,18,7,59,250000,0.050733081714000934,0.05068775330639076,0.06657134267154265,19.8115973566934,18.74829249812986,17.549419758330977,3,7,85,no,no,no
0,20,19,7,59,250000,0.050733081714000934,0.05068775330639076,0.06657134267154265,19.8115973566934,18.74829249812986,17.549419758330977,3,6,78,no,no,no
0,20,20,7,60,250000,0.0529528537831279,0.05368472100868651,0.06832604547503254,25.05382645819263,25.769412474950638,20.647814474751904,3,5,71,no,no,no
0,20,21,7,62,250000,0.06106510118752977,0.06326520204087428,0.07691444474912457,44.21176614640696,48.214000953871846,35.81291871943384,3,4,64,no,no,no
0,20,22,7,65,250000,0.07865021698461885,0.08407100986700386,0.09777447745119108,85.74089747789118,96.95662599118262,72.64685719602588,3,3,57,no,no,no
0,21,18,7,59,250000,0.07163180401865374,0.07052807400382187,0.09207623601201984,69.16616477977584,65.22903097541017,62.58509566415598,2,7,73,no,no,no
0,21,19,7,59,250000,0.07163180401865374,0.07052807400382187,0.09207623601201984,69.16616477977584,65.22903097541017,62.58509566415598,2,6,66,no,no,no
0,21,20,7,59,250000,0.07163180401865374,0.07052807400382187,0.09207623601201984,69.16616477977584,65.22903097541017,62.58509566415598,2,5,59,no,no,no
0,21,21,7,61,250000,0.07818692661755884,0.07885463493493391,0.09909988395852215,84.64678773643406,84.7360090609141,74.98721506817203,2,4,52,no,no,no
0,21,22,7,64,250000,0.08927477328636657,0.08803099836949686,0.11267416457407574,110.83192326841042,106.2338545584228,98.95621953707511,2,3,45,no,no,no
0,22,18,7,59,250000,0.12326914054801143,0.12073217425654417,0.15642771890141466,191.11325657491327,182.8442494953451,176.2147622845068,1,7,61,no,no,no
0,22,19,7,59,250000,0.12326914054801143,0.12073217425654417,0.15642771890141466,191.11325657491327,182.8442494953451,176.2147622845068,1,6,54,no,no,no
0,22,20,7,59,250000,0.12326914054801143,0.12073217425654417,0.15642771890141466,191.11325657491327,182.8442494953451,176.2147622845068,1,5,47,no,no,no
0,22,21,7,59,250000,0.12326914054801143,0.12073217425654417,0.15642771890141466,191.11325657491327,182.8442494953451,176.2147622845068,1,4,40,no,no,no
0,22,22,7,62,250000,0.12349772296110975,0.11953425585485672,0.157297977476257,191.65307838576533,180.03783659531743,177.75143536945814,1,3,33,no,no,no
1,16,16,7,83 42,250000,0.011410847332303475,0.01078233655135932,0.016232578491446124,0.0,0.0,0.0,7,9,147,yes,yes,yes
1,16,17,7,83 42,250000,0.01144292858782772,0.010882253662731961,0.016740914072196033,0.2811470050381404,0.9266740181657962,3.1315762989704954,7,8,140,no,yes,no
1,16,18,7,84 42,250000,0.013460520715961249,0.012861107963520895,0.01782767769299193,17.962499400506935,19.279415016029212,9.826530038874326,7,7,133,no,no,no
1,16,19,7,84 43,250000,0.015423219535839612,0.01511849967634764,0.020115910750236998,35.16278928890175,40.21543108336443,23.923077044335407,7,6,126,no,no,no
1,16,20,7,86 43,250000,0.01992372465891367,0.019566580571570836,0.0260001143372458,74.60337588174293,81.46883542699375,60.17242332108079,7,5,119,no,no,no
1,16,21,7,88 44,250000,0.035293481077674674,0.035077906956196,0.04455275562236558,209.2976362742212,225.3275093863933,174.46505584952496,7,4,112,no,no,no
1,16,22,7,94 46,250000,0.07207014939675459,0.07106645879530812,0.08955647674982871,531.593319040629,559.1007288336667,451.7082624736492,7,3,105,no,no,no
1,17,16,7,83 42,250000,0.011978814984019832,0.011342558583174749,0.016726478827286558,4.977436251455858,5.1957386893548785,3.042648683945681,6,9,135,no,no,no
1,17,17,7,83 42,250000,0.012005130214843753,0.011448477782681927,0.017129334157646295,5.208052173810929,6.17807863953781,5.524419097512578,6,8,128,no,no,no
1,17,18,7,84 42,250000,0.014104350008436224,0.01347234816992512,0.018584933101808657,23.6047560509165,24.948318073290654,14.491564674103508,6,7,121,no,no,no
1,17,19,7,84 43,250000,0.015817565582515947,0.015469945073675027,0.02053252958359631,38.61867678956057,43.47488598586495,26.489636839988663,6,6,114,no,no,no
1,17,20,7,86 43,250000,0.02029883587297561,0.01988229716067455,0.026523032775023773,77.89069717470265,84.39692608341008,63.393836592259674,6,5,107,no,no,no
1,17,21,7,88 44,250000,0.03548084684252437,0.035246021415653826,0.044741282089592035,210.93963322145294,226.88667477375665,175.62646386197227,6,4,100,no,no,no
1,17,22,7,94 46,250000,0.07223021800985346,0.07123447269480582,0.08973522535591691,532.9960949120206,560.6589615849578,452.80943445431996,6,3,93,no,no,no
