level,role,group,start,end,arrival_ns,report
1,C,mode0,y[22] (input port clocked by vclk),result[30] (output port clocked by vclk),2.18985,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l1_divmul_root_opt/mode0.rpt
1,C,mode1,y[22] (input port clocked by vclk),result[30] (output port clocked by vclk),2.84776,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l1_divmul_root_opt/mode1.rpt
1,C,x_exp,x[22] (input port clocked by vclk),result[30] (output port clocked by vclk),2.83204,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l1_divmul_root_opt/x_exp.rpt
1,C,x_frac,x[22] (input port clocked by vclk),result[22] (output port clocked by vclk),2.32859,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l1_divmul_root_opt/x_frac.rpt
1,C,y_exp,y[22] (input port clocked by vclk),result[30] (output port clocked by vclk),2.89371,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l1_divmul_root_opt/y_exp.rpt
1,C,y_frac,y[22] (input port clocked by vclk),result[22] (output port clocked by vclk),2.39026,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l1_divmul_root_opt/y_frac.rpt
2,B,divide_mode_exp,divide_mode,result[30] (output port clocked by vclk),1.22046,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l2_divmul_unshared/divide_mode_exp.rpt
2,B,divide_mode_frac,divide_mode,result[22] (output port clocked by vclk),0.70741,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l2_divmul_unshared/divide_mode_frac.rpt
2,B,global,y[22] (input port clocked by vclk),result[30] (output port clocked by vclk),3.15696,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l2_divmul_unshared/global.rpt
2,B,mode0,y[22] (input port clocked by vclk),result[30] (output port clocked by vclk),2.51105,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l2_divmul_unshared/mode0.rpt
2,B,mode1,y[22] (input port clocked by vclk),result[30] (output port clocked by vclk),3.15438,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l2_divmul_unshared/mode1.rpt
2,B,x_exp,x[22] (input port clocked by vclk),result[30] (output port clocked by vclk),3.03054,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l2_divmul_unshared/x_exp.rpt
2,B,x_frac,x[22] (input port clocked by vclk),result[22] (output port clocked by vclk),2.51749,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l2_divmul_unshared/x_frac.rpt
2,B,y_exp,y[22] (input port clocked by vclk),result[30] (output port clocked by vclk),3.15696,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l2_divmul_unshared/y_exp.rpt
2,B,y_frac,y[22] (input port clocked by vclk),result[22] (output port clocked by vclk),2.64391,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l2_divmul_unshared/y_frac.rpt
2,C,divide_mode_exp,divide_mode,result[30] (output port clocked by vclk),3.31142,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l2_divmul_root_opt/divide_mode_exp.rpt
2,C,divide_mode_frac,divide_mode,result[22] (output port clocked by vclk),2.79838,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l2_divmul_root_opt/divide_mode_frac.rpt
2,C,global,divide_mode,result[30] (output port clocked by vclk),3.31142,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l2_divmul_root_opt/global.rpt
2,C,mode0,y[22] (input port clocked by vclk),result[30] (output port clocked by vclk),2.42600,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l2_divmul_root_opt/mode0.rpt
2,C,mode1,x[22] (input port clocked by vclk),result[30] (output port clocked by vclk),3.17841,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l2_divmul_root_opt/mode1.rpt
2,C,x_exp,x[22] (input port clocked by vclk),result[30] (output port clocked by vclk),3.19891,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l2_divmul_root_opt/x_exp.rpt
2,C,x_frac,x[22] (input port clocked by vclk),result[22] (output port clocked by vclk),2.68586,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l2_divmul_root_opt/x_frac.rpt
2,C,y_exp,y[22] (input port clocked by vclk),result[30] (output port clocked by vclk),3.19448,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l2_divmul_root_opt/y_exp.rpt
2,C,y_frac,y[22] (input port clocked by vclk),result[22] (output port clocked by vclk),2.68143,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l2_divmul_root_opt/y_frac.rpt
3,B,divide_mode_exp,divide_mode,result[30] (output port clocked by vclk),1.24819,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l3_divmul_unshared/divide_mode_exp.rpt
3,B,divide_mode_frac,divide_mode,result[8] (output port clocked by vclk),0.73941,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l3_divmul_unshared/divide_mode_frac.rpt
3,B,global,y[20] (input port clocked by vclk),result[30] (output port clocked by vclk),3.47887,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l3_divmul_unshared/global.rpt
3,B,mode0,y[20] (input port clocked by vclk),result[30] (output port clocked by vclk),2.80918,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l3_divmul_unshared/mode0.rpt
3,B,mode1,y[20] (input port clocked by vclk),result[30] (output port clocked by vclk),3.47585,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l3_divmul_unshared/mode1.rpt
3,B,x_exp,x[20] (input port clocked by vclk),result[30] (output port clocked by vclk),3.33463,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l3_divmul_unshared/x_exp.rpt
3,B,x_frac,x[20] (input port clocked by vclk),result[8] (output port clocked by vclk),2.82585,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l3_divmul_unshared/x_frac.rpt
3,B,y_exp,y[20] (input port clocked by vclk),result[30] (output port clocked by vclk),3.47887,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l3_divmul_unshared/y_exp.rpt
3,B,y_frac,y[20] (input port clocked by vclk),result[8] (output port clocked by vclk),2.97009,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l3_divmul_unshared/y_frac.rpt
3,C,divide_mode_exp,divide_mode,result[30] (output port clocked by vclk),3.61155,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l3_divmul_root_opt/divide_mode_exp.rpt
3,C,divide_mode_frac,divide_mode,result[8] (output port clocked by vclk),3.10262,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l3_divmul_root_opt/divide_mode_frac.rpt
3,C,global,y[20] (input port clocked by vclk),result[30] (output port clocked by vclk),3.68527,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l3_divmul_root_opt/global.rpt
3,C,mode0,y[20] (input port clocked by vclk),result[30] (output port clocked by vclk),2.74858,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l3_divmul_root_opt/mode0.rpt
3,C,mode1,y[20] (input port clocked by vclk),result[30] (output port clocked by vclk),3.67915,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l3_divmul_root_opt/mode1.rpt
3,C,x_exp,x[20] (input port clocked by vclk),result[30] (output port clocked by vclk),3.68144,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l3_divmul_root_opt/x_exp.rpt
3,C,x_frac,x[20] (input port clocked by vclk),result[8] (output port clocked by vclk),3.17251,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l3_divmul_root_opt/x_frac.rpt
3,C,y_exp,y[20] (input port clocked by vclk),result[30] (output port clocked by vclk),3.68527,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l3_divmul_root_opt/y_exp.rpt
3,C,y_frac,y[20] (input port clocked by vclk),result[8] (output port clocked by vclk),3.17634,experiments/arithmetic_sharing/timing_levels/oadm_fixed_l3_divmul_root_opt/y_frac.rpt
