design,function,area_um2,critical_path_ns,activity_period_ns,power_mw,energy_per_op_pj,mae,mred,rmse
pace_l4,div_only,3196.43,3.65836,10.0,0.373903,3.73903,0.003866091,0.003834884,0.006131750
oadm_q07_fixed_l3_div,div_only,5177.52,5.2463,7.0,0.423850,2.96695,0.003401225,0.003183570,0.004573599
