configuration,fused_area_um2,div_only_area_um2,mul_only_area_um2,separate_sum_um2,shared_area_um2,shared_pct_fused,fusion_saving_pct,div_exclusive_area_um2,mul_exclusive_area_um2
runtime_l0_l3,7707.25,5171.76,3728.51,8900.27,1193.02,15.48,13.40,3978.74,2535.49
fixed_l3,7691.04,5177.52,3873.59,9051.11,1360.07,17.68,15.03,3817.45,2513.52
