scope,oadm_level,oadm_variant,source,pace_level,oadm_area_um2,oadm_critical_delay_ns,oadm_latency_ns,oadm_power_mw,oadm_mae,oadm_mred,oadm_rmse,pace_area_um2,pace_critical_delay_ns,pace_latency_ns,pace_power_mw,pace_mae,pace_mred,pace_rmse,area_delta_pct_vs_pace,delay_delta_pct_vs_pace,power_delta_pct_vs_pace,mred_delta_pct_vs_pace,rmse_delta_pct_vs_pace,comparison_note
DIV-only,L0,root_opt_centered_residual_q07,unified_normal_finite_wrapper_10ns,L1,422.640006,1.98545,1.98545,0.0179954,0.042490737,0.042625992,0.056921209,668.880008,2.04272,2.04272,0.0257036,0.028652814,0.026218122,0.045861404,-36.81,-2.80,-29.99,62.58,24.12,Same 10000 normalized-mantissa vectors; residual/scale drop 18/18; calibrated Q0.7 coefficient; independent integer-model cross-check and final-netlist gate miter passed; shared fp32_normal_finite_wrapper; fresh DC/PT 2026-09-03
DIV-only,L1,root_opt_centered_residual_q07,unified_normal_finite_wrapper_10ns,L2,783.360005,2.62745,2.62745,0.0392231,0.011530309,0.010870842,0.016338037,1259.640022,3.10953,3.10953,0.0539871,0.015342894,0.014992885,0.022565317,-37.81,-15.50,-27.35,-27.49,-27.60,Same 10000 normalized-mantissa vectors; residual/scale drop 16/16; calibrated Q0.7 table; independent integer-model cross-check and final-netlist gate miter passed; shared fp32_normal_finite_wrapper; fresh DC/PT 2026-09-03
DIV-only,L2,root_opt_centered_residual_q08,unified_normal_finite_wrapper_10ns,L3,1058.400006,2.64548,2.64548,0.0533156,0.003852507,0.003674431,0.005367505,1853.280020,3.42280,3.42280,0.0896916,0.005982764,0.005651984,0.009353566,-42.89,-22.71,-40.56,-34.99,-42.62,Same 10000 normalized-mantissa vectors; residual/scale drop 16/16; calibrated Q0.8 table; independent integer-model cross-check and final-netlist gate miter passed; shared fp32_normal_finite_wrapper; fresh DC/PT 2026-09-03
DIV-only,L3,root_opt_centered_residual_q08,unified_normal_finite_wrapper_10ns,L4,1382.400002,2.91930,2.91930,0.0730775,0.002748346,0.002775435,0.003482566,2786.040025,3.70799,3.70799,0.1328230,0.003896897,0.003833633,0.006065880,-50.38,-21.27,-44.98,-27.60,-42.59,Same 10000 normalized-mantissa vectors; residual/scale drop 16/16; calibrated Q0.8 table; independent integer-model cross-check and final-netlist gate miter passed; shared fp32_normal_finite_wrapper; fresh DC/PT 2026-09-03
