candidate,comparison_role,relative_to,scope,levels,implementation,area_um2,pt_delay_ns,pt_power_mw,area_change_pct,delay_change_pct,power_change_pct,accuracy_summary,validation,dc_report,pt_report,flow
runtime_centered_residual,current runtime baseline,,selectable FP32 DIV+MUL,L0-L3,unpruned centered residual with correction LUT,5114.880036,5.28936,0.2323480,,,,reference accuracy in qsim_rtl/root_opt/root_opt_accuracy.csv,existing validated paper point,dc/multilevel_opt/outputs_runtime_centered_residual_experiment_10ns/oadm_runtime_centered_residual_opt/oadm_runtime_centered_residual_opt.dc.rpt,pt_dc/multilevel_opt/reports/runtime_centered_residual_experiment,TSMC65 typical CCS; 10 ns; no pipeline; explicit flatten; set_max_area 0; compile_ultra; optimize_netlist -area; vectorless PT
runtime_root,candidate,current runtime centered residual,selectable FP32 DIV+MUL,L0-L3,centered selected plane with residual drop 10 and DIV scale-input drop 14,2990.520020,4.34479,0.1236310,-41.53,-17.86,-46.79,worst increase among MAE/MRED/RMSE over all modes and levels is 6.96 percent at DIV L3 RMSE,1000-vector independent model cross-check and 20005-vector-per-DUT gate miter passed,dc/root_opt/outputs_10ns/oadm_runtime_root_opt/oadm_runtime_root_opt.dc.rpt,pt_dc/root_opt/reports_10ns/oadm_runtime_root_opt,TSMC65 typical CCS; 10 ns; no pipeline; explicit flatten; set_max_area 0; compile_ultra; optimize_netlist -area; vectorless PT
fixed_l2_current,current strict DIV-only L2 baseline,,normal-finite FP32 DIV-only,L2,fixed centered-residual L2 midpoint and normalizer specialization,2587.319989,3.87981,0.1587640,,,,MAE 0.008068415; MRED 0.008365269; RMSE 0.009489800,500064-vector bit-exact RTL equivalence and 20003-vector gate miter passed,dc/l2_divopt/outputs_10ns/oadm_fixed_l2_div_specialized_paceio/oadm_fixed_l2_div_specialized_paceio.dc.rpt,pt_dc/l2_divopt/reports_10ns/oadm_fixed_l2_div_specialized_paceio,TSMC65 typical CCS; 10 ns; no pipeline; explicit flatten; set_max_area 0; compile_ultra; optimize_netlist -area; vectorless PT
fixed_l2_root,candidate,current strict DIV-only L2,normal-finite FP32 DIV-only,L2,centered plane with residual drop 10 scale-input drop 14 and tuned Q0.8 four-entry table,1555.200006,3.42979,0.0827526,-39.89,-11.60,-47.88,MAE 0.003100417; MRED 0.002892013; RMSE 0.004394511,1000-vector independent model cross-check and 20005-vector-per-DUT gate miter passed,dc/root_opt/outputs_10ns/oadm_fixed_l2_div_root_opt/oadm_fixed_l2_div_root_opt.dc.rpt,pt_dc/root_opt/reports_10ns/oadm_fixed_l2_div_root_opt,TSMC65 typical CCS; 10 ns; no pipeline; explicit flatten; set_max_area 0; compile_ultra; optimize_netlist -area; vectorless PT
fixed_l2_root,candidate,PACE L4,normal-finite FP32 DIV-only,L2 versus L4,centered plane with residual drop 10 scale-input drop 14 and tuned Q0.8 four-entry table,1555.200006,3.42979,0.0827526,-44.18,-7.50,-37.70,MAE 0.003100417 versus 0.003896897; MRED 0.002892013 versus 0.003833633; RMSE 0.004394511 versus 0.006065880,same 10000-vector accuracy sequence; PACE gate miter and root-opt gate miter passed,dc/root_opt/outputs_10ns/oadm_fixed_l2_div_root_opt/oadm_fixed_l2_div_root_opt.dc.rpt,pt_dc/root_opt/reports_10ns/oadm_fixed_l2_div_root_opt,PACE remains strict DIV-only; both PPA points use the same local explicit-flatten flow
