level,variant,status,residual_drop,vectors,mae,mred,rmse,mean_error,area_um2,delay_ns,power_mw,area_change_vs_current_pct,delay_change_vs_current_pct,power_change_vs_current_pct,mae_change_vs_current_pct,mred_change_vs_current_pct,rmse_change_vs_current_pct,validation,dc_report,pt_report,flow_note
L2,amlib,reference,0,200000,0.00392066182018,0.00189225958084,0.00522854182935,5.38323441278e-06,2250.000023,3.66392,0.1047040,26.9809,10.5558,23.5469,0.00002,0.00001,0.00002,200000 same-vector normal-finite cases,dc/canonical_refresh/outputs_10ns/amlib_oam/L2/top.dc.rpt,pt_dc/canonical_refresh/reports_10ns/amlib_oam/L2,TSMC65 10 ns no pipeline; input-only fanout; explicit flatten; set_max_area 0; compile_ultra area-high; optimize_netlist -area; vectorless PT
L2,current,reference,0,200000,0.00392066120815,0.0018922594122,0.00522854072336,5.38354346287e-06,1771.919995,3.31409,0.0847484,0.0000,0.0000,0.0000,0.00000,0.00000,0.00000,200000 same-vector normal-finite cases,dc/canonical_refresh/outputs_10ns/sharing/L2_centered_residual/mul/oadm_fixed_l2_mul_canonical.dc.rpt,pt_dc/canonical_refresh/reports_10ns/sharing/L2_centered_residual/mul,TSMC65 10 ns no pipeline; input-only fanout; explicit flatten; set_max_area 0; compile_ultra area-high; optimize_netlist -area; vectorless PT
L2,accuracy,selected_accuracy_preserving,8,200000,0.00392072044224,0.00189228593014,0.00522857108185,5.36499211323e-06,1247.760009,2.64256,0.0582298,-29.5815,-20.2629,-31.2910,0.00151,0.00140,0.00058,200000 same-vector normal-finite cases; independent integer model zero mismatches; 20002-vector normal-finite gate miter,dc/mul_root_opt/outputs_10ns/oadm_fixed_l2_mul_root_opt_accuracy/oadm_fixed_l2_mul_root_opt_accuracy.dc.rpt,pt_dc/mul_root_opt/reports_10ns/oadm_fixed_l2_mul_root_opt_accuracy,TSMC65 10 ns no pipeline; input-only fanout; explicit flatten; set_max_area 0; compile_ultra area-high; optimize_netlist -area; vectorless PT
L2,conservative,pareto_balanced,12,200000,0.00393680529783,0.00189958365671,0.0052378840771,5.62483021747e-06,991.440008,2.36193,0.0450196,-44.0471,-28.7307,-46.8785,0.41177,0.38706,0.17870,200000 same-vector normal-finite cases; independent integer model zero mismatches; 20002-vector normal-finite gate miter,dc/mul_root_opt/outputs_10ns/oadm_fixed_l2_mul_root_opt/oadm_fixed_l2_mul_root_opt.dc.rpt,pt_dc/mul_root_opt/reports_10ns/oadm_fixed_l2_mul_root_opt,TSMC65 10 ns no pipeline; input-only fanout; explicit flatten; set_max_area 0; compile_ultra area-high; optimize_netlist -area; vectorless PT
L2,aggressive,pareto_area,14,200000,0.00409652401312,0.00197179649419,0.00536613414041,3.69215199482e-06,865.440003,2.06097,0.0395304,-51.1581,-37.8119,-53.3556,4.48554,4.20329,2.63158,200000 same-vector normal-finite cases; independent integer model zero mismatches; 20002-vector normal-finite gate miter,dc/mul_root_opt/outputs_10ns/oadm_fixed_l2_mul_root_opt_aggressive/oadm_fixed_l2_mul_root_opt_aggressive.dc.rpt,pt_dc/mul_root_opt/reports_10ns/oadm_fixed_l2_mul_root_opt_aggressive,TSMC65 10 ns no pipeline; input-only fanout; explicit flatten; set_max_area 0; compile_ultra area-high; optimize_netlist -area; vectorless PT
L3,amlib,reference,0,200000,0.000974097635374,0.000468333621695,0.00129937075127,-1.97406675292e-07,2867.040025,3.82072,0.1385590,24.6517,16.0689,39.3755,-0.00000,-0.00002,0.00004,200000 same-vector normal-finite cases,dc/canonical_refresh/outputs_10ns/amlib_oam/L3/top.dc.rpt,pt_dc/canonical_refresh/reports_10ns/amlib_oam/L3,TSMC65 10 ns no pipeline; input-only fanout; explicit flatten; set_max_area 0; compile_ultra area-high; optimize_netlist -area; vectorless PT
L3,current,reference,0,200000,0.000974097682683,0.000468333721079,0.00129937029123,-1.97343792391e-07,2300.040013,3.29177,0.0994142,0.0000,0.0000,0.0000,0.00000,0.00000,0.00000,200000 same-vector normal-finite cases,dc/canonical_refresh/outputs_10ns/sharing/L3_centered_residual/mul/oadm_fixed_l3_mul_canonical.dc.rpt,pt_dc/canonical_refresh/reports_10ns/sharing/L3_centered_residual/mul,TSMC65 10 ns no pipeline; input-only fanout; explicit flatten; set_max_area 0; compile_ultra area-high; optimize_netlist -area; vectorless PT
L3,accuracy,selected_accuracy_preserving,6,200000,0.000974123314336,0.000468342867964,0.00129937850793,-1.95761885119e-07,1679.400010,2.90501,0.0775867,-26.9839,-11.7493,-21.9561,0.00263,0.00195,0.00063,200000 same-vector normal-finite cases; independent integer model zero mismatches; 20002-vector normal-finite gate miter,dc/mul_root_opt/outputs_10ns/oadm_fixed_l3_mul_root_opt_accuracy/oadm_fixed_l3_mul_root_opt_accuracy.dc.rpt,pt_dc/mul_root_opt/reports_10ns/oadm_fixed_l3_mul_root_opt_accuracy,TSMC65 10 ns no pipeline; input-only fanout; explicit flatten; set_max_area 0; compile_ultra area-high; optimize_netlist -area; vectorless PT
L3,conservative,pareto_balanced,10,200000,0.00097794583997,0.000470052894489,0.00130174525379,-3.80781855059e-07,1351.080007,2.52954,0.0592750,-41.2584,-23.1556,-40.3757,0.39505,0.36708,0.18278,200000 same-vector normal-finite cases; independent integer model zero mismatches; 20002-vector normal-finite gate miter,dc/mul_root_opt/outputs_10ns/oadm_fixed_l3_mul_root_opt/oadm_fixed_l3_mul_root_opt.dc.rpt,pt_dc/mul_root_opt/reports_10ns/oadm_fixed_l3_mul_root_opt,TSMC65 10 ns no pipeline; input-only fanout; explicit flatten; set_max_area 0; compile_ultra area-high; optimize_netlist -area; vectorless PT
L3,aggressive,pareto_area,12,200000,0.00101901676453,0.000488555109683,0.0013354866759,-5.94443048907e-07,1205.640007,2.48222,0.0527227,-47.5818,-24.5932,-46.9666,4.61135,4.31773,2.77953,200000 same-vector normal-finite cases; independent integer model zero mismatches; 20002-vector normal-finite gate miter,dc/mul_root_opt/outputs_10ns/oadm_fixed_l3_mul_root_opt_aggressive/oadm_fixed_l3_mul_root_opt_aggressive.dc.rpt,pt_dc/mul_root_opt/reports_10ns/oadm_fixed_l3_mul_root_opt_aggressive,TSMC65 10 ns no pipeline; input-only fanout; explicit flatten; set_max_area 0; compile_ultra area-high; optimize_netlist -area; vectorless PT
