scope,oadm_level,variant,source_branch,area_um2,critical_delay_ns,latency_ns,power_mw,setup_met,hold_met,tradeoff
DIV+MUL,L0,centered_residual,centered-residual,1931.760009,4.43394,4.43394,0.0879054,yes,yes,Canonical refresh power point; centered-index saves 1.80 um2 and 0.17307 ns
DIV+MUL,L0,centered_index,centered-index,1929.960009,4.26087,4.26087,0.0889170,yes,yes,Canonical refresh area/delay point; power is 1.15% above centered-residual
DIV+MUL,L2,factored_midpoint,factored-midpoint,3914.64,4.98,4.98,0.2020690,yes,yes,Lowest saved L2 area
DIV+MUL,L2,centered_residual,centered-residual,3974.400023,4.83226,4.83226,0.1867680,yes,yes,Canonical refresh; lower delay and power than factored-midpoint
DIV+MUL,L3,centered_residual,centered-residual,4767.480029,4.98826,4.98826,0.2295740,yes,yes,Canonical refresh area/power point
DIV+MUL,L3,subtractor_free_residual,final_opt,4773.24,4.82341,4.82341,0.2304430,yes,yes,Lowest saved L3 delay; 0.12% area and 0.38% power cost
