scope,design,mode,clock_period_ns,pipeline_cycles,latency_ns,throughput_mops,area_um2,total_power_mw,total_energy_pj_per_op,source,measurement_note
Exact baseline,DesignWare exact standalone,MUL,10.0,0,3.88068,100.0,4266.720009,0.1952780,1.952780,dc/canonical_refresh/outputs_10ns/exact/mul/exact_fp32_mul_nopipe.dc.rpt; pt_dc/canonical_refresh/reports_10ns/exact/mul,TSMC65 typical CCS; 10 ns virtual clock; no pipeline; zero uncertainty; 20 ps I/O delay; INVD0 input driver; 0.004 output load; input-only max capacitance/fanout; explicit flatten; set_max_area 0; optimize_netlist -area; PT vectorless probability 0.5 and 0.1 toggles per 10 ns
Exact baseline,DesignWare exact standalone,DIV,10.0,0,9.95451,100.0,15016.319918,1.2949500,12.949500,dc/canonical_refresh/outputs_10ns/exact/div/exact_fp32_div_nopipe.dc.rpt; pt_dc/canonical_refresh/reports_10ns/exact/div,TSMC65 typical CCS; 10 ns virtual clock; no pipeline; zero uncertainty; 20 ps I/O delay; INVD0 input driver; 0.004 output load; input-only max capacitance/fanout; explicit flatten; set_max_area 0; optimize_netlist -area; PT vectorless probability 0.5 and 0.1 toggles per 10 ns
Exact baseline,DesignWare exact combined,DIV+MUL selectable,10.0,0,9.93421,100.0,20558.159890,1.6563300,16.563300,dc/canonical_refresh/outputs_10ns/exact/divmul/exact_fp32_divmul_nopipe.dc.rpt; pt_dc/canonical_refresh/reports_10ns/exact/divmul,TSMC65 typical CCS; 10 ns virtual clock; no pipeline; zero uncertainty; 20 ps I/O delay; INVD0 input driver; 0.004 output load; input-only max capacitance/fanout; explicit flatten; set_max_area 0; optimize_netlist -area; PT vectorless probability 0.5 and 0.1 toggles per 10 ns
