variant,selection,scope,area_um2,pt_delay_ns,pt_power_mw,adp_um2_ns,dc_report,pt_report,gate_check,notes
centered_residual,selected_area_point,DIV-only normal-finite FP32,1285.920012,3.09370,0.0729152,3978.250741,dc/multilevel_opt/outputs_explicit_flatten_area10/oadm_fixed_l0_div_paceio_opt/oadm_fixed_l0_div_paceio_opt.dc.rpt,pt_dc/multilevel_opt/reports/explicit_flatten_area10/oadm_fixed_l0_div_paceio_opt,pass 10000 vectors,Explicit flatten plus optimize_netlist -area; selected by area
centered_index,retained_candidate,DIV-only normal-finite FP32,1287.720009,3.15187,0.0759262,4058.726065,dc/multilevel_opt/outputs_explicit_flatten_area10/oadm_l0_centered_index_div_paceio_opt/oadm_l0_centered_index_div_paceio_opt.dc.rpt,pt_dc/multilevel_opt/reports/explicit_flatten_area10/oadm_l0_centered_index_div_paceio_opt,pass 10000 vectors,Explicit flatten plus optimize_netlist -area; distinct from centered residual
