design,implementation,scope,accuracy_cases,mae,mred,rmse,area_um2,dc_delay_ns,pt_delay_ns,pt_power_mw,adp_um2_ns,source,notes
SIMDive-derived SISD32 FP32 wrapper (MUL),SIMDive author mode=01 data path source-specialized plus shared FP32 wrapper,DIV+MUL FP32 wrapper,10000,0.018707268,0.008792073,0.024883815,3729.240087,7.67000,7.64970,0.1099120,28527.567894,dc/hier_compile_10ns/outputs/simdive/sisd32_specialized/simdive_sisd32_fp32_wrapper.dc.rpt; pt_dc/hier_compile_10ns/reports/simdive/sisd32_specialized; qsim_rtl/simdive_original/simdive_oadm_common_accuracy.csv; qsim_rtl/simdive_original/specialized_gate_vector_check.log,SIMDive single-32-bit mode source specialization plus shared fp32_normal_finite_wrapper; same 10000 vectors as OADM runtime L0-L3; ordinary compile without flatten or compile_ultra; 20000 unique author-vs-specialized RTL mode/vector pairs and 20000 original-RTL-to-specialized-gate vectors passed
SIMDive-derived SISD32 FP32 wrapper (DIV),SIMDive author mode=01 data path source-specialized plus shared FP32 wrapper,DIV+MUL FP32 wrapper,10000,0.008573437,0.008273827,0.018849373,3729.240087,7.67000,7.64970,0.1099120,28527.567894,dc/hier_compile_10ns/outputs/simdive/sisd32_specialized/simdive_sisd32_fp32_wrapper.dc.rpt; pt_dc/hier_compile_10ns/reports/simdive/sisd32_specialized; qsim_rtl/simdive_original/simdive_oadm_common_accuracy.csv; qsim_rtl/simdive_original/specialized_gate_vector_check.log,SIMDive single-32-bit mode source specialization plus shared fp32_normal_finite_wrapper; same 10000 vectors as OADM runtime L0-L3; DIV includes Q8 quotient adapter and is not native FP32 SIMDive; ordinary compile without flatten or compile_ultra; 20000 unique author-vs-specialized RTL mode/vector pairs and 20000 original-RTL-to-specialized-gate vectors passed
