stdm,candidate,criterion,stdm_mred,candidate_mred,stdm_rmse,candidate_rmse,stdm_adp,candidate_adp,candidate_adp_change_pct
L0,fpd2d_2x4_t19,both MRED and RMSE no worse than STDM,0.04265015139877548,0.019121808158592875,0.056459673068841754,0.0249542633369333,908.7122950312,684.12424896736,-24.714978249097964
L1,fpd2d_2x8_t17,both MRED and RMSE no worse than STDM,0.010773303287989111,0.009506224803929245,0.016165459704662467,0.012454610952216807,3055.91206411017,1113.4328159284198,-63.56463168541361
L2,none among evaluated points,both MRED and RMSE no worse than STDM,0.0036477691906840848,,0.00531504337898066,,4062.2274479531898,,
L3,none among evaluated points,both MRED and RMSE no worse than STDM,0.002794255451214877,,0.003481541880022741,,5748.581240207451,,
