dataset,design,mode,count,mred_pct,rmse,signed_mean,max_re_pct,p99_re_pct,exact_fraction
uniform,input_mul_b3_half0,MUL,200000,8.349399111942986,0.20117131699176763,-0.18367413116350684,20.963476765292093,16.469139704954134,0.0
uniform,input_div_realquot_b3_half0,DIV,200000,3.093801528910505,0.04199432259418729,0.0031344280454283,12.380584270087915,9.383561642672484,0.0
uniform,input_div_shortquot_b3_half0,DIV,200000,3.4014861129751064,0.044191150811772224,-0.00782821127705477,13.917393127822056,10.237232473965037,0.0
uniform,input_mul_b3_half1,MUL,200000,2.9360977499012,0.07796113171357139,-5.1513976006856484e-05,12.418471774636663,8.568736574729293,0.0
uniform,input_div_realquot_b3_half1,DIV,200000,2.9368843843159906,0.03925177247060857,-0.0006275585089989309,12.119208130422045,8.48810476753814,0.0
uniform,input_div_shortquot_b3_half1,DIV,200000,3.2913549641004964,0.042994823435549265,-0.014745867527054772,12.947274810840051,9.671357962508175,0.0
uniform,input_mul_b3_nearest,MUL,200000,2.9342779319593584,0.07811106235292291,0.0002844625864931435,11.875006670120346,8.418717998510797,0.0
uniform,input_div_b3_nearest,DIV,200000,2.9296410376895183,0.03924137924365151,0.0012777257269134816,12.105008637281129,8.459926297883378,0.0
uniform,input_mul_b5_half0,MUL,200000,2.143854122968306,0.05093530346370439,-0.046608442686944355,5.777568919307971,4.367116986303843,0.0
uniform,input_div_realquot_b5_half0,DIV,200000,0.7704428440102589,0.010463089267723076,0.0008307119883111452,3.098120423514162,2.3315334664500886,0.0
uniform,input_div_shortquot_b5_half0,DIV,200000,0.872848424509123,0.01107273131533123,-0.0027297347145547705,4.036343548117887,2.702619426248873,0.0
uniform,input_mul_b5_half1,MUL,200000,0.7353659897519871,0.019520089838349776,2.976287946189352e-05,2.885988861316153,2.115460856549663,0.0
uniform,input_div_realquot_b5_half1,DIV,200000,0.7346218632807348,0.009799635557858167,-7.720723905269965e-05,2.85096943339021,2.1045635649514614,0.0
uniform,input_div_shortquot_b5_half1,DIV,200000,0.8284884856646827,0.010787633310106607,-0.0038785628395547702,3.5142296025808437,2.481165836056078,0.0
uniform,input_mul_b5_nearest,MUL,200000,0.7335437004504851,0.01947896842842236,-4.275421038185648e-05,2.8921582604462817,2.1122174455372247,0.0
uniform,input_div_b5_nearest,DIV,200000,0.7331722068432103,0.009805211661341457,0.0001507231133274532,2.975738463264096,2.1039087248569244,0.0
uniform,input_mul_b7_half0,MUL,200000,0.5401467798637273,0.012779145961199976,-0.011701371764092791,1.5056801640461712,1.115167946603676,0.0
uniform,input_div_realquot_b7_half0,DIV,200000,0.19139841163874163,0.0026097410820269075,0.0002292999859665553,0.7577916574788685,0.5833441004128762,0.0
uniform,input_div_shortquot_b7_half0,DIV,200000,0.21868204129783486,0.002758696217794925,-0.000721394870804771,1.0794961015446851,0.6905682513330826,0.0
uniform,input_mul_b7_half1,MUL,200000,0.18387620234186688,0.004886361332078455,3.8641367861122685e-06,0.7436266161204103,0.5280790423662192,0.0
uniform,input_div_realquot_b7_half1,DIV,200000,0.18249427917529926,0.0024404114444178896,4.840678359680211e-06,0.7382943331569048,0.5264213423650554,0.0
uniform,input_div_shortquot_b7_half1,DIV,200000,0.20620162494213345,0.002686605863995436,-0.0009675472145547711,0.9232512649624843,0.6248570310325581,0.0
uniform,input_mul_b7_nearest,MUL,200000,0.18385567950704665,0.004877586163198623,-1.456817522560648e-05,0.73689390455178,0.5298528199558986,0.0
uniform,input_div_b7_nearest,DIV,200000,0.18288399715812562,0.002449085476209306,-3.519400089798118e-06,0.7485470009274265,0.5274529108899731,0.0
uniform,input_mul_b9_half0,MUL,200000,0.13527274928891556,0.003198998012321876,-0.0029301163090757042,0.3662630178740383,0.2796011643088733,0.0
uniform,input_div_realquot_b9_half0,DIV,200000,0.048125133870727664,0.0006541215156821443,5.600112541211309e-05,0.1938592828662705,0.14600073242345477,0.0
uniform,input_div_shortquot_b9_half0,DIV,200000,0.055165643407315966,0.0006925288161706437,-0.00018590414814852093,0.26484676139419505,0.1754339024800132,0.0
uniform,input_mul_b9_half1,MUL,200000,0.04588897185267246,0.0012190064266754635,-9.477223447471061e-07,0.1860497018829698,0.1317694058989755,0.0
uniform,input_div_realquot_b9_half1,DIV,200000,0.04591499129677371,0.000612690678112751,6.9342934885106e-08,0.1875218107211282,0.13236712944570145,0.0
uniform,input_div_shortquot_b9_half1,DIV,200000,0.05180703124495331,0.0006741106650071368,-0.0002440828590860209,0.23176309064730619,0.15692127340468714,0.0
uniform,input_mul_b9_nearest,MUL,200000,0.04581181083734649,0.0012168254534905894,1.676980108866175e-06,0.18702310990037563,0.13210140602934362,0.0
uniform,input_div_b9_nearest,DIV,200000,0.04582310352902517,0.0006140092145326338,-6.476726354614987e-07,0.18029092015111478,0.13132810198829442,0.0
uniform,OAM_ideal_L0,MUL,200000,3.1282707370059413,0.08349153558144608,0.00033126700952733465,24.686815880597923,15.907451224952032,0.0
