level,a_div_area_um2,a_mul_area_um2,a_sum_area_um2,b_area_um2,c_area_um2,a_to_b_area_change_um2,b_to_c_area_saved_um2,b_to_c_area_saved_pct,a_to_c_area_saved_pct,b_delay_ns,c_delay_ns,b_critical_startpoint,c_critical_startpoint,c_delay_overhead_pct,b_adp,c_adp,adp_saved_pct,b_vectorless_power_mw,c_vectorless_power_mw,c_area_change_from_previous_um2,status
0,516.960004,516.600003,1033.560007,1018.440007,957.960008,15.120000000000005,60.47999900000002,5.938494028544183,7.314524409611756,1.96355,2.49427,x[18] (input port clocked by vclk),divide_mode,27.028596165109132,1999.75787574485,2389.4109091541604,-19.48501056730061,0.0425729,0.0382199,0.0,pass
1,1130.400003,948.600003,2079.000006,2111.400006,1696.680006,-32.399999999999636,414.7199999999998,19.641943678198505,18.38961033653793,2.887,2.89371,y[22] (input port clocked by vclk),y[22] (input port clocked by vclk),0.23242119847592946,6095.611817321999,4909.69990016226,19.45517452062342,0.0965477,0.073253,0.0,pass
2,1484.640007,1317.600004,2802.240011,2751.840011,2106.72001,50.40000000000009,645.1200009999998,23.443223385852562,24.820143823148054,3.15696,3.31142,y[22] (input port clocked by vclk),divide_mode,4.892681567077184,8687.44884112656,6976.2347755142,19.69754408810371,0.12494900000000002,0.0911738,0.0,pass
3,1865.520005,1645.920004,3511.440009,3454.200009,2663.640009,57.23999999999978,790.56,22.886920211342055,24.14394088542151,3.47887,3.68527,y[20] (input port clocked by vclk),y[20] (input port clocked by vclk),5.932960990206593,12016.712785309832,9816.23261596743,18.311831269134103,0.153065,0.111693,0.0,pass
