design,configuration,period_ns,cycles,latency_ns,pt_area_um2,pt_max_delay_slack_ns,pt_power_mw,energy_pj_per_op,critical_path_ns,sequential_cells
nopipe_dedicated_q09,runtime,7.0,0,5.4129,9747.06,1.5871,0.70537,4.93759,5.4129,0
p6_liveness_q09,runtime,1.5,6,9.0,14490.58,0.0042,6.6107,9.91605,1.49,
