mode,level,cases,mae,mred,mred_pct,rmse,rmse_rel_pct,max_rel_pct,worst_x,worst_y,worst_expected,worst_actual
DIV,L0_Q0.5,100000000,0.056046766671216094,0.05436244856953743,5.436244856953743,0.0804725417640466,7.58639312860554,34.36516942839773,1.0,1.999899983406067,0.5000250053989607,0.32819056510925293
DIV,L1_Q0.5,100000000,0.04362800695822869,0.04306919380542602,4.3069193805426025,0.04745964068009305,4.568154860139577,12.103523815552817,1.0,1.499899983406067,0.6667111214503365,0.5860155820846558
DIV,L2_Q0.5,100000000,0.011318932980109558,0.010807900801095754,1.0807900801095756,0.01359919255019193,1.2112666026822119,3.8663393350006485,1.0,1.249899983406067,0.8000640157422264,0.7691308259963989
DIV,L3_Q0.5,100000000,0.02319850985564993,0.023986836282062874,2.3986836282062876,0.025771395052819304,2.773076446090097,5.675646625968505,1.0,1.8805999755859375,0.5317451946091994,0.5619251728057861
DIV,L4_Q0.5,100000000,0.018445542734604515,0.01913571331723199,1.9135713317231988,0.021132583949326357,2.2161360175928375,4.470108297171284,1.0,1.874899983406067,0.5333617840154513,0.5095199346542358
DIV,L0_Q0.6,100000000,0.056046766671216094,0.05436244856953743,5.436244856953743,0.0804725417640466,7.58639312860554,34.36516942839773,1.0,1.999899983406067,0.5000250053989607,0.32819056510925293
DIV,L1_Q0.6,100000000,0.011849004648314893,0.011040575033769526,1.1040575033769526,0.019347039373199235,1.6805358098436616,9.906100735815924,1.0,1.499899983406067,0.6667111214503365,0.6006660461425781
DIV,L2_Q0.6,100000000,0.008162676170289634,0.00846988498737697,0.846988498737697,0.009176306652042979,0.9652028288166041,2.586073361518963,1.0,1.749899983406067,0.5714612317748382,0.556682825088501
DIV,L3_Q0.6,100000000,0.009384668169753215,0.00973605949419788,0.9736059494197882,0.011906170396851682,1.2836545422335983,2.8046124000752473,1.0,1.874899983406067,0.5333617840154513,0.5184030532836914
DIV,L4_Q0.6,100000000,0.010043797748971671,0.010661960197260605,1.0661960197260607,0.011717865713355102,1.2884708557916966,2.9800010336202742,1.0,1.9388999938964844,0.5157563583206597,0.5311259031295776
DIV,L0_Q0.7,100000000,0.043580118443019816,0.042716329515825144,4.271632951582514,0.06837393442403555,6.584537629691489,33.19311462521454,1.0,1.999899983406067,0.5000250053989607,0.33405113220214844
DIV,L1_Q0.7,100000000,0.011849004648314893,0.011040575033769526,1.1040575033769526,0.019347039373199235,1.6805358098436616,9.906100735815924,1.0,1.499899983406067,0.6667111214503365,0.6006660461425781
DIV,L2_Q0.7,100000000,0.00803138077466979,0.008354428951333304,0.8354428951333305,0.009451142908466962,0.9782546632043074,2.9050082413391496,1.0,1.249899983406067,0.8000640157422264,0.7768220901489258
DIV,L3_Q0.7,100000000,0.0034012254833724054,0.003183570053219719,0.31835700532197186,0.004573599478980849,0.41854113196040005,1.233522240043783,1.0,1.624899983406067,0.6154224938225612,0.6078311204910278
DIV,L4_Q0.7,100000000,0.0044651630364791065,0.00468061082538821,0.46806108253882095,0.0052578206931689145,0.5598307962557914,0.9439918692862622,1.0,1.8158999681472778,0.5506911270119563,0.5558896064758301
