level,oadm_mae,pace_mae,mae_reduction_pct,oadm_mred,pace_mred,mred_reduction_pct,oadm_rmse,pace_rmse,rmse_reduction_pct
1,0.011849004648314893,0.028,57.682126256018236,0.011040575033769526,0.026,57.5362498701172,0.019347039373199235,0.045,57.00657917066837
2,0.00434361153514329,0.015,71.0425897657114,0.003917514177840801,0.014,72.01775587256571,0.0064804361220240836,0.022,70.5434721726178
3,0.0014448955316320106,0.011,86.86458607607263,0.0014257843661859228,0.011,87.03832394376434,0.001790518367021526,0.014,87.21058309270339
4,0.002437372134487744,0.005,51.252557310245116,0.0025363460738099335,0.005,49.27307852380133,0.00284435649522175,0.007,59.36633578254643
