mode,level,cases,mae,mred,mred_pct,rmse,rmse_rel_pct,max_rel_pct,worst_x,worst_y,worst_expected,worst_actual
MUL,0,100000000,0.06249999256056306,0.0312183162615377,3.12183162615377,0.08333332752329545,4.556784474173674,25.0,1.0,1.0,1.0,0.75
MUL,1,100000000,0.01562499634966162,0.007589457908061108,0.7589457908061108,0.020833332014249705,1.0702324949075652,6.25,1.0,1.0,1.0,0.9375
MUL,2,100000000,0.003906250095827094,0.0018822732036545972,0.18822732036545972,0.005208334888749669,0.26233853486272274,1.5625,1.0,1.0,1.0,0.984375
MUL,3,100000000,0.0009765625467098931,0.0004695898980166637,0.04695898980166637,0.0013020847833863903,0.0652370436419749,0.390625,1.0,1.0,1.0,0.99609375
MUL,4,100000000,0.00024414289793325724,0.00011733673325360581,0.011733673325360582,0.0003255229312318881,0.016287221183050503,0.09765625,1.0,1.0,1.0,0.9990234375
DIV,0,100000000,0.043580118443019816,0.042716329515825144,4.271632951582514,0.06837393442403555,6.584537629691489,33.19311462521454,1.0,1.999899983406067,0.5000250053989607,0.33405113220214844
DIV,1,100000000,0.011849004648314893,0.011040575033769526,1.1040575033769526,0.019347039373199235,1.6805358098436616,9.906100735815924,1.0,1.499899983406067,0.6667111214503365,0.6006660461425781
DIV,2,100000000,0.00434361153514329,0.003917514177840801,0.39175141778408007,0.0064804361220240836,0.5423197034225542,2.9050082413391496,1.0,1.249899983406067,0.8000640157422264,0.7768220901489258
DIV,3,100000000,0.0014448955316320106,0.0014257843661859228,0.14257843661859226,0.001790518367021526,0.17513146606043908,0.6320521827007001,1.0,1.124899983406067,0.888967921372099,0.8833491802215576
DIV,4,100000000,0.002437372134487744,0.0025363460738099335,0.2536346073809933,0.00284435649522175,0.3019125244809541,0.7166946045629188,1.0,1.937399983406067,0.5161556769717419,0.5124564170837402
