design,variant,area_um2,pt_delay_ns,pt_power_mw,setup_met,hold_met,bit_exact
fixed_l3,centered_residual,4767.48,4.98826,0.229574,yes,yes,yes
fixed_l3,subtractor_free_residual,4773.24,4.82341,0.230443,yes,yes,yes
