top,family,level,drop,bits,shell,rounding,dataset,cases,rmse,mred,mean_error,max_relative,mae,area_um2,delay_ns,slack_ns,power_mw,dc_report,pt_dir,adp_um2_ns,status
fig8_pace_l2_d16,pace,2,16,7,common,author,uniform_10k,10000,0.023718450357754103,0.01586031232839914,-0.003382984199220982,0.09423035457674238,0.01645645723518623,578.160003,1.48737,8.49263,0.0256717,experiments/pace_fig8_reverse/dc/fig8_pace_l2_d16/fig8_pace_l2_d16.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_pace_l2_d16,859.93784366211,pass
fig8_pace_l2_d17,pace,2,17,6,common,author,uniform_10k,10000,0.025881707656114417,0.017430631787768557,-0.0061435310742209495,0.09934012651444349,0.018379612468572094,517.680003,1.43211,8.54789,0.0223335,experiments/pace_fig8_reverse/dc/fig8_pace_l2_d17/fig8_pace_l2_d17.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_pace_l2_d17,741.3747090963301,pass
fig8_pace_l2_d18,pace,2,18,5,common,author,uniform_10k,10000,0.031487526643938335,0.021380919233362355,-0.011541187324220943,0.10047711911168485,0.023040631451922786,455.400002,1.37377,8.60623,0.0190053,experiments/pace_fig8_reverse/dc/fig8_pace_l2_d18/fig8_pace_l2_d18.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_pace_l2_d18,625.61486074754,pass
fig8_pace_l3_d0,pace,3,0,23,common,author,uniform_10k,10000,0.009367587646729176,0.005649383528190634,0.001404979459350264,0.2400433399666262,0.0059745339616959995,2271.960013,2.82085,7.15915,0.131194,experiments/pace_fig8_reverse/dc/fig8_pace_l3_d0/fig8_pace_l3_d0.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_pace_l3_d0,6408.85840267105,pass
fig8_pace_l3_d4,pace,3,4,19,common,author,uniform_10k,10000,0.009367428445217681,0.005649260537003847,0.0014037104228188156,0.24004286643937242,0.005974451536755992,1903.32001,2.59851,7.38149,0.108096,experiments/pace_fig8_reverse/dc/fig8_pace_l3_d4/fig8_pace_l3_d4.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_pace_l3_d4,4945.7960791851,pass
fig8_pace_l3_d8,pace,3,8,15,common,author,uniform_10k,10000,0.009364672892922709,0.005647568468014781,0.0013835761645485513,0.24002013713119127,0.005973349934091432,1538.280008,2.37891,7.60109,0.0845023,experiments/pace_fig8_reverse/dc/fig8_pace_l3_d8/fig8_pace_l3_d8.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_pace_l3_d8,3659.4296938312796,pass
fig8_pace_l3_d12,pace,3,12,11,common,author,uniform_10k,10000,0.00933197397678223,0.005642742636948353,0.001061620292966522,0.23986860840998356,0.005979143942322241,1172.880006,2.15695,7.82305,0.061376200000000006,experiments/pace_fig8_reverse/dc/fig8_pace_l3_d12/fig8_pace_l3_d12.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_pace_l3_d12,2529.8435289417002,pass
fig8_pace_l3_d14,pace,3,14,9,common,author,uniform_10k,10000,0.009341923522805403,0.0057776079742095,3.937908202902509e-05,0.23938371650211887,0.006150414351633029,990.000005,2.05375,7.92625,0.0498968,experiments/pace_fig8_reverse/dc/fig8_pace_l3_d14/fig8_pace_l3_d14.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_pace_l3_d14,2033.2125102687498,pass
fig8_pace_l3_d15,pace,3,15,8,common,author,uniform_10k,10000,0.009602497403178992,0.006168289321792218,-0.0013507576367209804,0.23744414887066018,0.006595587106127967,898.200004,1.93732,8.04268,0.0440139,experiments/pace_fig8_reverse/dc/fig8_pace_l3_d15/fig8_pace_l3_d15.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_pace_l3_d15,1740.10083174928,pass
fig8_pace_l3_d16,pace,3,16,7,common,author,uniform_10k,10000,0.010994396563392404,0.007548497065734492,-0.004065406074220982,0.23356501360774273,0.008065856747935455,805.680004,1.89235,8.08765,0.037781699999999994,experiments/pace_fig8_reverse/dc/fig8_pace_l3_d16/fig8_pace_l3_d16.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_pace_l3_d16,1524.6285555694,pass
fig8_pace_l3_d17,pace,3,17,6,common,author,uniform_10k,10000,0.015693120852821176,0.011359434043612364,-0.009539624824220943,0.045018462480954965,0.012112377346395012,708.120003,1.76892,8.21108,0.032091,experiments/pace_fig8_reverse/dc/fig8_pace_l3_d17/fig8_pace_l3_d17.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_pace_l3_d17,1252.60763570676,pass
fig8_pace_l4_d0,pace,4,0,23,common,author,uniform_10k,10000,0.005923006987512841,0.0037850187149297953,0.0017916043260742785,0.2400433399666262,0.003827905540846007,3150.72001,2.98691,6.99309,0.18531099999999998,experiments/pace_fig8_reverse/dc/fig8_pace_l4_d0/fig8_pace_l4_d0.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_pace_l4_d0,9410.9171050691,pass
